Koordinatensystem : Lambert konform konisch
Rechtswert        : 4077500 Meter
Hochwert          : 2315500 Meter
Hoehenlage        : 720 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4077500 2315500  1  1  1  -3.1  918  17  0.4 4  3.1  94    0    0 237 -323  0
4077500 2315500  1  1  2  -2.9  918  19  0.3 5  3.2  94    0    0 241 -324  0
4077500 2315500  1  1  3  -2.5  919  23  0.3 3  3.2  95    0    0 242 -326  0
4077500 2315500  1  1  4  -2.2  919  28  0.2 8  3.4  95    0    0 267 -327  0
4077500 2315500  1  1  5  -1.6  920  28  0.2 8  3.5  96    0    0 298 -327  0
4077500 2315500  1  1  6  -1.4  920  26  0.0 7  3.6  96    0    0 293 -327  0
4077500 2315500  1  1  7  -1.2  920  22  0.0 8  3.6  95    0    0 294 -327  0
4077500 2315500  1  1  8  -1.4  920  24  0.0 7  3.6  94    0    0 294 -327  0
4077500 2315500  1  1  9  -1.1  920  93  0.0 8  3.6  94    6   20 292 -327  0
4077500 2315500  1  1 10  -0.2  920  18  0.2 7  3.8  94   17   81 292 -327  0
4077500 2315500  1  1 11   0.6  921 320  0.8 7  4.0  94    1   84 287 -327  0
4077500 2315500  1  1 12   1.4  922 130  0.0 8  4.2  93    0   66 294 -327  0
4077500 2315500  1  1 13   1.6  921 350  0.1 8  4.2  91    0   77 300 -327  0
4077500 2315500  1  1 14   2.1  920 350  0.1 6  4.3  90    4  124 289 -327  0
4077500 2315500  1  1 15   2.0  920 358  0.4 6  4.4  90    7  103 279 -324  0
4077500 2315500  1  1 16   2.0  920  29  0.7 6  4.4  90    5   56 277 -314  0
4077500 2315500  1  1 17   0.3  920  83  1.1 4  4.1  91    0    6 263 -299  0
4077500 2315500  1  1 18  -0.1  919  38  0.0 2  3.9  93    0    0 238 -287  0
4077500 2315500  1  1 19  -0.1  919  57  0.2 1  3.9  95    0    0 221 -280  0
4077500 2315500  1  1 20  -1.1  919  91  0.5 2  3.8  95    0    0 219 -278  0
