Koordinatensystem : Lambert konform konisch
Rechtswert        : 4129500 Meter
Hochwert          : 2620500 Meter
Hoehenlage        : 560 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4129500 2620500  1  1  1   3.8  936 198  3.9 8  4.9  92    0    0 277 -318  0
4129500 2620500  1  1  2   2.9  936 195  3.3 8  4.8  96    0    0 294 -318  0
4129500 2620500  1  1  3   2.1  936 195  2.9 7  4.8  99    0    0 313 -318  0
4129500 2620500  1  1  4   1.9  936 187  2.7 7  4.7  99    0    0 311 -318  0
4129500 2620500  1  1  5   1.8  936 180  2.6 7  4.6  99    0    0 294 -318  0
4129500 2620500  1  1  6   1.6  936 150  2.2 7  4.6  99    0    0 285 -318  0
4129500 2620500  1  1  7   1.4  936 160  2.4 8  4.5  99    0    0 300 -318  0
4129500 2620500  1  1  8   1.4  937 190  4.0 8  4.5  99    0    0 308 -318  0
4129500 2620500  1  1  9   1.1  938 180  3.3 8  4.4  99    1   16 307 -318  0
4129500 2620500  1  1 10   1.2  938 210  2.2 5  4.4  99   25   83 281 -318  0
4129500 2620500  1  1 11   1.2  939 210  2.4 5  4.4  99   27  128 255 -318  0
4129500 2620500  1  1 12   0.8  940 230  2.8 8  4.3  99    0   61 279 -318  0
4129500 2620500  1  1 13   1.1  940 230  2.4 8  4.3  99    0   82 304 -318  0
4129500 2620500  1  1 14   1.3  940 220  1.5 8  4.4  99    0   76 305 -318  0
4129500 2620500  1  1 15   1.3  940 160  1.7 7  4.4  98    5   77 297 -318  0
4129500 2620500  1  1 16   0.9  940 140  1.6 8  4.4  98    3   41 296 -316  0
4129500 2620500  1  1 17   0.6  941 170  1.7 7  4.3  99    0    0 294 -315  0
4129500 2620500  1  1 18   0.6  941 170  1.6 7  4.2  99    0    0 286 -315  0
4129500 2620500  1  1 19   0.6  942 180  1.0 7  4.2  99    0    0 286 -316  0
4129500 2620500  1  1 20   0.5  942 140  1.2 7  4.2  99    0    0 286 -316  0
4129500 2620500  1  1 21   0.4  942 160  1.2 7  4.2  99    0    0 285 -316  0
4129500 2620500  1  1 22   0.6  943 170  1.9 8  4.2  99    0    0 293 -316  0
4129500 2620500  1  1 23   0.7  943 320  0.9 7  4.2  99    0    0 294 -314  0
4129500 2620500  1  1 24   0.2  944 360  0.4 8  4.2  99    0    0 292 -313  0
4129500 2620500  1  2  1   0.1  944 210  0.3 7  4.1  99    0    0 290 -314  0
4129500 2620500  1  2  2   0.0  944 170  0.8 8  4.1  99    0    0 290 -313  0
4129500 2620500  1  2  3  -0.1  945 270  0.6 7  4.0  99    0    0 289 -313  0
4129500 2620500  1  2  4  -0.1  946   0  0.1 8  4.0  99    0    0 287 -313  0
4129500 2620500  1  2  5  -0.1  947 340  1.1 8  4.0  99    0    0 297 -312  0
4129500 2620500  1  2  6  -0.4  947 340  1.7 7  3.9  99    0    0 288 -311  0
4129500 2620500  1  2  7  -0.1  948 340  2.2 8  3.9  99    0    0 288 -309  0
4129500 2620500  1  2  8   0.2  948   0  3.2 8  4.0  99    0    0 298 -309  0
4129500 2620500  1  2  9   0.2  949   0  3.4 8  4.1  99    0    5 298 -310  0
4129500 2620500  1  2 10   0.3  949  10  2.1 8  4.1  99    3   61 299 -311  0
4129500 2620500  1  2 11   0.5  950   0  2.3 8  4.1  98    3   82 299 -312  0
4129500 2620500  1  2 12   0.3  950   0  3.8 4  4.1  99   42  149 269 -313  0
4129500 2620500  1  2 13   0.3  951  10  3.3 7  4.1  99   23  146 264 -314  0
4129500 2620500  1  2 14   0.3  951  10  3.4 8  4.1  99    0   84 292 -315  0
4129500 2620500  1  2 15   0.4  951  10  3.5 7  4.1  99    1   63 292 -315  0
4129500 2620500  1  2 16   0.5  952 360  2.8 8  4.2 100    0   28 293 -314  0
4129500 2620500  1  2 17   0.3  952 350  3.2 4  4.1  99    0    0 272 -313  0
4129500 2620500  1  2 18   0.2  953 360  3.8 8  4.1  99    0    0 273 -312  0
4129500 2620500  1  2 19   0.1  954 350  3.6 8  4.0  99    0    0 299 -312  0
4129500 2620500  1  2 20   0.0  953 360  3.9 8  4.0  99    0    0 298 -311  0
4129500 2620500  1  2 21   0.1  953 340  3.6 5  4.0  99    0    0 280 -310  0
4129500 2620500  1  2 22   0.3  954 350  3.0 8  4.0  98    0    0 279 -310  0
4129500 2620500  1  2 23   0.0  954 350  2.7 8  4.0  98    0    0 298 -310  0
4129500 2620500  1  2 24  -0.1  955  10  3.6 8  3.9  98    0    0 297 -310  0
4129500 2620500  1  3  1  -0.5  955  10  2.7 7  3.9  99    0    0 290 -310  0
4129500 2620500  1  3  2  -0.5  955   0  2.7 8  3.8  99    0    0 289 -310  0
4129500 2620500  1  3  3  -0.5  955  10  2.6 8  3.8  99    0    0 295 -310  0
4129500 2620500  1  3  4  -0.7  956  20  2.6 8  3.8  98    0    0 294 -310  0
4129500 2620500  1  3  5  -0.9  956  10  2.4 8  3.7  98    0    0 293 -310  0
4129500 2620500  1  3  6  -0.9  957 350  2.4 8  3.7  98    0    0 292 -310  0
4129500 2620500  1  3  7  -1.0  957 350  2.1 8  3.7  98    0    0 292 -310  0
4129500 2620500  1  3  8  -1.0  957 350  1.7 8  3.7  98    0    0 292 -310  0
4129500 2620500  1  3  9  -1.0  958 330  1.9 8  3.7  98    1   14 291 -310  0
4129500 2620500  1  3 10  -0.7  958 330  2.5 8  3.7  98    0   41 291 -310  0
