Koordinatensystem : Lambert konform konisch
Rechtswert        : 4129500 Meter
Hochwert          : 2620500 Meter
Hoehenlage        : 560 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4129500 2620500  1  1  1  -0.1  959 253  2.2 5  3.7  93    0    0 282 -305  1
4129500 2620500  1  1  2  -0.7  959 281  1.8 6  3.6  96    0    0 283 -305  1
4129500 2620500  1  1  3  -1.3  959 297  1.6 8  3.6  99    0    0 278 -304  1
4129500 2620500  1  1  4  -1.5  959 293  1.5 8  3.5  98    0    0 277 -303  1
4129500 2620500  1  1  5  -1.6  959 284  1.5 8  3.5  98    0    0 281 -303  1
4129500 2620500  1  1  6  -1.8  958 280  1.2 8  3.4  97    0    0 280 -303  1
4129500 2620500  1  1  7  -2.0  958 260  1.5 7  3.4  97    0    0 274 -303  1
4129500 2620500  1  1  8  -2.3  958 270  1.4 8  3.3  98    0    0 272 -302  1
4129500 2620500  1  1  9  -2.2  958 230  1.2 8  3.3  97    0   10 275 -301  1
4129500 2620500  1  1 10  -1.5  958 230  0.8 7  3.4  96    0   41 270 -302  1
4129500 2620500  1  1 11  -1.3  958 270  1.1 7  3.3  91    0   45 265 -304  1
4129500 2620500  1  1 12  -1.5  958 230  1.1 8  3.2  88    0   45 270 -306  1
4129500 2620500  1  1 13  -1.1  958 250  1.1 8  3.3  89    0   46 274 -308  1
4129500 2620500  1  1 14  -1.3  957 260  1.0 8  3.3  89    0   40 273 -309  1
4129500 2620500  1  1 15  -1.4  957 240  1.1 8  3.4  93    0   26 271 -309  1
4129500 2620500  1  1 16  -1.6  957 230  0.9 8  3.5  97    0    8 267 -307  1
4129500 2620500  1  1 17  -1.8  957 220  1.1 8  3.4  97    0    0 264 -305  1
4129500 2620500  1  1 18  -2.1  957 220  0.9 8  3.4  98    0    0 261 -303  1
4129500 2620500  1  1 19  -2.2  957 180  0.7 8  3.4  99    0    0 261 -301  1
4129500 2620500  1  1 20  -2.5  957 140  0.6 8  3.3  98    0    0 260 -297  1
4129500 2620500  1  1 21  -2.6  957 150  0.4 7  3.2  97    0    0 257 -296  1
4129500 2620500  1  1 22  -2.8  957   0  0.0 8  3.2  97    0    0 258 -296  1
4129500 2620500  1  1 23  -3.1  957  60  0.6 8  3.2  98    0    0 263 -294  1
4129500 2620500  1  1 24  -3.1  957  60  0.7 8  3.1  98    0    0 263 -290  1
4129500 2620500  1  2  1  -3.2  957  50  0.9 8  3.1  98    0    0 265 -288  1
4129500 2620500  1  2  2  -3.8  956  50  1.0 8  3.1  98    0    0 265 -286  1
4129500 2620500  1  2  3  -3.9  956  80  1.1 3  2.9  97    0    0 246 -286  1
4129500 2620500  1  2  4  -3.9  957  60  1.0 8  2.9  97    0    0 246 -284  1
4129500 2620500  1  2  5  -4.4  956  90  1.1 4  2.9  97    0    0 249 -283  1
4129500 2620500  1  2  6  -5.8  957 130  0.9 7  2.7  97    0    0 241 -283  1
4129500 2620500  1  2  7  -5.9  957 140  1.1 5  2.5  97    0    0 243 -282  1
4129500 2620500  1  2  8  -6.0  957 130  1.2 6  2.5  97    0    0 237 -282  1
4129500 2620500  1  2  9  -5.4  956 110  0.6 7  2.6  98    5   10 246 -283  1
