Koordinatensystem : Lambert konform konisch
Rechtswert        : 3860500 Meter
Hochwert          : 2658500 Meter
Hoehenlage        : 552 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3860500 2658500  1  1  1  -2.3  945 150  7.3 4  3.3  97    0    0 205 -294  2
3860500 2658500  1  1  2  -2.9  945 143  9.1 4  3.1  94    0    0 214 -294  2
3860500 2658500  1  1  3  -3.4  944 138 10.5 5  2.8  90    0    0 239 -294  2
3860500 2658500  1  1  4  -3.3  943 136 10.9 6  2.8  87    0    0 260 -297  2
3860500 2658500  1  1  5  -3.3  942 134 10.7 7  2.7  85    0    0 270 -298  2
3860500 2658500  1  1  6  -3.3  941 130 11.2 7  2.7  84    0    0 269 -298  2
3860500 2658500  1  1  7  -3.3  941 130  9.6 8  2.6  83    0    0 269 -298  2
3860500 2658500  1  1  8  -3.2  941 140 10.1 7  2.6  82    0    0 269 -297  2
3860500 2658500  1  1  9  -3.1  941 140 10.6 7  2.6  82    0    1 265 -297  2
3860500 2658500  1  1 10  -3.1  940 140 10.2 8  2.7  83    0   14 274 -298  2
3860500 2658500  1  1 11  -2.8  939 140 10.6 7  2.7  84    1   62 277 -299  2
3860500 2658500  1  1 12  -2.3  939 150  9.5 7  2.8  84    0   61 276 -301  2
3860500 2658500  1  1 13  -1.9  939 150  8.5 8  2.9  82    0   57 286 -304  2
3860500 2658500  1  1 14  -2.0  938 140  8.3 8  2.9  81    0   43 295 -306  2
3860500 2658500  1  1 15  -1.5  937 140  7.5 8  3.1  86    0   24 299 -308  2
3860500 2658500  1  1 16  -1.1  937 150  6.5 8  3.4  92    0   14 305 -309  2
3860500 2658500  1  1 17  -1.0  936 140  5.6 8  3.6  96    0    1 309 -310  2
3860500 2658500  1  1 18  -0.4  937 150  4.7 8  3.9  99    0    0 311 -312  2
3860500 2658500  1  1 19  -0.3  937 160  4.6 8  3.9  96    0    0 313 -313  2
3860500 2658500  1  1 20   0.1  937 170  4.6 8  3.8  92    0    0 314 -315  2
3860500 2658500  1  1 21   0.0  937 170  5.3 8  3.8  92    0    0 314 -316  2
3860500 2658500  1  1 22  -0.1  937 150  4.0 8  3.9  94    0    0 313 -317  2
3860500 2658500  1  1 23   0.5  936 150  4.7 8  4.1  98    0    0 313 -317  2
3860500 2658500  1  1 24   0.7  936 160  5.4 7  4.3 100    0    0 307 -317  2
3860500 2658500  1  2  1   0.3  936 150  5.4 7  4.2  99    0    0 298 -317  2
3860500 2658500  1  2  2   0.0  935 140  5.2 7  4.1  98    0    0 296 -317  2
