Koordinatensystem : Lambert konform konisch
Rechtswert        : 4195500 Meter
Hochwert          : 2673500 Meter
Hoehenlage        : 393 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4195500 2673500  1  1  1  -0.5  978 235  5.1 5  3.5  92    0    0 287 -312  2
4195500 2673500  1  1  2  -0.4  978 257  4.3 7  3.7  97    0    0 283 -312  2
4195500 2673500  1  1  3  -0.3  978 270  3.5 8  3.9 100    0    0 279 -311  2
4195500 2673500  1  1  4  -0.3  978 263  3.7 8  3.8 100    0    0 284 -310  2
4195500 2673500  1  1  5  -0.4  978 255  3.9 8  3.8 100    0    0 288 -309  2
4195500 2673500  1  1  6  -0.5  978 250  4.5 8  3.8 100    0    0 287 -308  2
4195500 2673500  1  1  7  -0.5  978 260  4.2 7  3.8 100    0    0 281 -308  2
4195500 2673500  1  1  8  -0.5  978 260  3.4 7  3.8 100    0    0 276 -308  2
4195500 2673500  1  1  9  -0.6  978 250  3.4 6  3.8 100    0    3 270 -308  2
4195500 2673500  1  1 10  -0.6  977 270  3.5 8  3.7  98    0   19 274 -308  2
4195500 2673500  1  1 11  -0.5  978 300  3.1 8  3.6  96    0   34 282 -310  2
4195500 2673500  1  1 12  -0.5  977 280  2.8 8  3.6  95    0   42 282 -312  2
4195500 2673500  1  1 13  -0.5  977 290  3.2 7  3.6  95    0   44 277 -314  2
4195500 2673500  1  1 14  -0.6  977 300  2.3 7  3.5  93    0   37 271 -314  2
4195500 2673500  1  1 15  -0.7  977 290  1.9 6  3.5  94    0   28 267 -314  2
4195500 2673500  1  1 16  -1.3  977 340  1.8 8  3.6  98    0    9 268 -313  2
4195500 2673500  1  1 17  -1.8  977  20  1.8 7  3.5 100    0    0 269 -312  2
4195500 2673500  1  1 18  -1.9  977  20  0.7 8  3.4 100    0    0 266 -311  2
4195500 2673500  1  1 19  -1.9  978  90  1.3 8  3.3  98    0    0 267 -310  2
4195500 2673500  1  1 20  -2.3  978 140  0.6 8  3.2  96    0    0 267 -309  2
4195500 2673500  1  1 21  -2.4  978 100  0.6 7  3.2  96    0    0 265 -308  2
4195500 2673500  1  1 22  -2.8  978 110  0.8 7  3.1  95    0    0 261 -307  2
4195500 2673500  1  1 23  -2.9  978 110  1.3 6  3.0  94    0    0 258 -308  2
4195500 2673500  1  1 24  -3.2  978  50  0.9 7  3.0  97    0    0 259 -308  2
4195500 2673500  1  2  1  -2.9  978  80  1.4 7  3.1  98    0    0 265 -307  2
4195500 2673500  1  2  2  -3.1  978  60  1.5 7  3.1  98    0    0 266 -307  2
4195500 2673500  1  2  3  -3.1  978 100  1.7 8  3.1  99    0    0 269 -307  2
4195500 2673500  1  2  4  -3.5  977 110  1.9 6  3.0  97    0    0 265 -306  2
4195500 2673500  1  2  5  -3.6  977 130  2.1 8  2.9  95    0    0 264 -304  2
4195500 2673500  1  2  6  -4.2  977 110  1.0 4  2.7  92    0    0 254 -304  2
4195500 2673500  1  2  7  -4.7  977 120  2.9 5  2.6  92    0    0 239 -303  2
4195500 2673500  1  2  8  -4.5  977  80  1.5 5  2.6  92    0    0 242 -303  2
4195500 2673500  1  2  9  -4.1  977 120  2.3 4  2.6  90    7   11 238 -305  2
4195500 2673500  1  2 10  -3.8  977  80  2.3 5  2.6  88   53   35 237 -306  2
4195500 2673500  1  2 11  -3.3  977  50  2.8 4  2.6  88   79   67 238 -309  2
4195500 2673500  1  2 12  -2.3  978  70  3.9 3  2.8  86   77   96 231 -311  2
4195500 2673500  1  2 13  -1.8  977  70  4.5 2  2.8  83  113   89 224 -312  2
4195500 2673500  1  2 14  -1.5  976  80  3.3 3  2.8  80   69   90 225 -312  2
4195500 2673500  1  2 15  -2.0  976  80  3.1 5  2.8  82    1   48 238 -311  2
4195500 2673500  1  2 16  -2.2  976  70  4.3 7  2.9  86    0    9 252 -310  2
4195500 2673500  1  2 17  -2.4  975  70  4.4 8  2.9  88    0    0 262 -307  2
4195500 2673500  1  2 18  -2.5  975  70  4.3 7  3.0  90    0    0 261 -302  2
4195500 2673500  1  2 19  -2.4  974  80  3.1 7  3.0  90    0    0 255 -298  2
4195500 2673500  1  2 20  -2.4  974 100  4.9 7  2.8  86    0    0 255 -296  2
4195500 2673500  1  2 21  -2.7  973  90  4.3 7  2.7  83    0    0 255 -297  2
4195500 2673500  1  2 22  -2.8  973  90  4.6 8  2.7  84    0    0 260 -298  2
4195500 2673500  1  2 23  -2.9  972  90  5.1 8  2.7  85    0    0 266 -298  2
4195500 2673500  1  2 24  -3.0  971  70  4.0 7  2.7  85    0    0 262 -297  2
4195500 2673500  1  3  1  -3.2  971  80  4.1 7  2.7  86    0    0 259 -297  2
4195500 2673500  1  3  2  -3.2  970  70  4.1 7  2.7  86    0    0 259 -296  2
4195500 2673500  1  3  3  -3.1  970  80  4.2 5  2.7  86    0    0 251 -295  2
4195500 2673500  1  3  4  -3.1  969  90  4.1 7  2.7  85    0    0 251 -293  2
4195500 2673500  1  3  5  -3.1  969  90  4.3 8  2.7  85    0    0 266 -292  2
4195500 2673500  1  3  6  -3.0  969 110  6.0 8  2.6  83    0    0 271 -292  2
4195500 2673500  1  3  7  -3.0  968 120  6.0 8  2.6  81    0    0 270 -291  2
4195500 2673500  1  3  8  -3.3  968 110  6.2 8  2.5  81    0    0 269 -290  2
4195500 2673500  1  3  9  -3.2  968 120  6.6 7  2.5  81    0    9 262 -289  2
4195500 2673500  1  3 10  -3.0  968 120  6.9 8  2.5  80    1   36 261 -289  2
4195500 2673500  1  3 11  -2.7  968 110  7.4 7  2.5  79    5   64 263 -292  2
4195500 2673500  1  3 12  -2.4  967 130  7.7 8  2.5  77    0   61 264 -294  2
4195500 2673500  1  3 13  -2.1  967 140  7.5 7  2.6  77    3   79 265 -296  2
4195500 2673500  1  3 14  -1.7  966 150  6.9 8  2.6  76    0   49 267 -298  2
4195500 2673500  1  3 15  -1.7  966 140  5.3 6  2.6  75    9   55 264 -300  2
4195500 2673500  1  3 16  -1.6  966  73  4.5 8  2.6  75   14   23 265 -301  2
4195500 2673500  1  3 17  -1.8  966 110  5.3 8  2.6  75    0    0 274 -302  2
4195500 2673500  1  3 18  -1.8  967 120  4.7 7  2.6  75    0    0 269 -301  2
4195500 2673500  1  3 19  -2.0  967 120  5.1 7  2.6  75    0    0 263 -300  2
4195500 2673500  1  3 20  -2.3  967 120  6.3 7  2.5  75    0    0 262 -299  2
4195500 2673500  1  3 21  -2.6  967 120  5.5 5  2.5  75    0    0 253 -297  2
4195500 2673500  1  3 22  -2.8  967 130  6.8 5  2.5  76    0    0 242 -295  2
4195500 2673500  1  3 23  -3.0  967 130  6.6 6  2.5  78    0    0 246 -295  2
4195500 2673500  1  3 24  -3.1  967 130  6.3 8  2.5  79    0    0 257 -295  2
4195500 2673500  1  4  1  -3.4  967 120  4.9 6  2.5  79    0    0 255 -295  2
4195500 2673500  1  4  2  -3.8  968 130  5.6 5  2.4  79    0    0 240 -294  2
4195500 2673500  1  4  3  -3.8  968 130  5.8 5  2.4  79    0    0 234 -294  2
4195500 2673500  1  4  4  -4.1  968 130  6.0 1  2.3  79    0    0 217 -294  2
4195500 2673500  1  4  5  -4.5  968 120  6.9 3  2.3  80    0    0 208 -294  2
4195500 2673500  1  4  6  -4.7  968 130  6.0 1  2.2  80    0    0 207 -293  2
4195500 2673500  1  4  7  -4.8  968 130  6.1 3  2.2  80    0    0 206 -293  2
4195500 2673500  1  4  8  -4.5  968 140  5.2 3  2.2  80    0    0 214 -293  2
4195500 2673500  1  4  9  -4.2  969 160  4.3 5  2.3  79    0   11 222 -292  2
4195500 2673500  1  4 10  -3.6  969 150  5.1 6  2.3  78    1   39 235 -293  2
4195500 2673500  1  4 11  -3.1  969 140  6.0 7  2.4  76   37   90 247 -296  2
4195500 2673500  1  4 12  -2.3  969 130  5.7 6  2.4  74  108  103 250 -299  2
4195500 2673500  1  4 13  -2.1  969 150  5.2 3  2.4  72   87  117 232 -301  2
4195500 2673500  1  4 14  -2.1  969 150  5.7 4  2.5  72   40  108 222 -302  2
4195500 2673500  1  4 15  -2.1  968 150  5.0 6  2.5  73   23   76 237 -302  2
4195500 2673500  1  4 16  -3.0  969 140  5.3 7  2.5  76    2   26 251 -300  2
4195500 2673500  1  4 17  -3.3  969 150  6.0 7  2.5  78    0    0 254 -297  2
4195500 2673500  1  4 18  -3.3  969 150  5.7 6  2.5  79    0    0 247 -296  2
4195500 2673500  1  4 19  -2.9  969 130  6.4 5  2.5  79    0    0 236 -295  2
4195500 2673500  1  4 20  -2.6  969 130  5.7 4  2.5  78    0    0 226 -295  2
4195500 2673500  1  4 21  -2.3  969 160  5.3 5  2.6  77    0    0 227 -294  2
4195500 2673500  1  4 22  -2.2  969 140  5.5 5  2.6  78    0    0 235 -294  2
4195500 2673500  1  4 23  -1.8  968 140  7.6 6  2.7  78    0    0 241 -294  2
4195500 2673500  1  4 24  -1.8  968 150  6.4 5  2.7  77    0    0 242 -294  2
4195500 2673500  1  5  1  -1.8  968 160  5.9 3  2.7  77    0    0 223 -293  2
4195500 2673500  1  5  2  -2.3  968 150  6.8 3  2.6  78    0    0 207 -292  2
4195500 2673500  1  5  3  -2.3  968 140  7.4 3  2.6  79    0    0 206 -292  2
4195500 2673500  1  5  4  -1.6  968 160  5.5 5  2.7  78    0    0 220 -293  2
4195500 2673500  1  5  5  -1.7  968 130  7.3 5  2.7  77    0    0 231 -293  2
4195500 2673500  1  5  6  -1.5  967 130  7.4 8  2.7  76    0    0 252 -292  2
4195500 2673500  1  5  7  -1.2  967 150  6.1 7  2.7  75    0    0 270 -292  2
4195500 2673500  1  5  8  -0.8  967 160  6.4 7  2.7  73    0    0 261 -295  2
4195500 2673500  1  5  9  -1.4  967 150  5.6 7  2.7  74    0    9 262 -297  2
4195500 2673500  1  5 10  -1.0  967 150  6.2 8  2.7  74    3   35 271 -299  2
4195500 2673500  1  5 11   0.0  967 150  5.8 8  2.7  71    0   43 285 -301  2
4195500 2673500  1  5 12   1.4  966 160  4.4 8  2.9  69    0   65 289 -305  2
4195500 2673500  1  5 13   1.4  966 150  3.9 8  3.0  69    0   61 292 -309  2
4195500 2673500  1  5 14   1.8  965 140  3.9 7  3.0  68    0   55 282 -314  2
4195500 2673500  1  5 15   1.5  964 152  4.4 8  3.1  69    3   46 282 -316  2
4195500 2673500  1  5 16   0.3  964 160  4.3 8  3.0  71    0   17 295 -316  2
4195500 2673500  1  5 17   2.7  965 180  8.0 7  3.1  71    0    0 287 -317  2
4195500 2673500  1  5 18   2.8  964 190  8.7 7  3.6  75    0    0 286 -318  2
4195500 2673500  1  5 19   2.7  964 190  9.5 8  3.9  79    0    0 296 -319  2
4195500 2673500  1  5 20   3.1  964 180  7.5 8  3.9  80    0    0 307 -320  2
4195500 2673500  1  5 21   2.8  963 190  9.4 8  4.0  81    0    0 308 -320  2
4195500 2673500  1  5 22   2.7  963 190  8.4 6  4.0  82    0    0 292 -321  2
4195500 2673500  1  5 23   1.2  963 180  5.6 5  3.8  84    0    0 272 -321  2
4195500 2673500  1  5 24   1.7  963 170  4.3 7  3.8  86    0    0 281 -321  2
4195500 2673500  1  6  1   0.8  962 150  5.2 5  3.8  86    0    0 281 -321  2
4195500 2673500  1  6  2   0.2  961 150  4.5 6  3.5  85    0    0 272 -320  2
4195500 2673500  1  6  3   0.1  961 150  4.4 7  3.5  86    0    0 283 -320  2
4195500 2673500  1  6  4   0.1  961 170  4.3 8  3.5  88    0    0 298 -320  2
4195500 2673500  1  6  5   0.1  960 160  3.9 7  3.5  87    0    0 299 -320  2
4195500 2673500  1  6  6   0.2  959 170  3.5 7  3.4  84    0    0 293 -319  2
4195500 2673500  1  6  7  -0.4  959 150  2.7 7  3.3  82    0    0 292 -320  2
4195500 2673500  1  6  8   0.1  960 170  3.4 7  3.2  82    0    0 293 -320  2
4195500 2673500  1  6  9   1.1  960 180  3.5 8  3.5  84    5    9 302 -319  2
4195500 2673500  1  6 10   0.8  960 220  5.6 8  3.9  91    0   24 310 -320  2
4195500 2673500  1  6 11   1.7  960 230  6.7 8  4.1  94    0   41 310 -322  2
4195500 2673500  1  6 12   2.2  961 250  7.5 8  4.3  93    0   30 313 -325  2
4195500 2673500  1  6 13   2.6  961 240  7.1 7  4.4  93    0   47 308 -327  2
4195500 2673500  1  6 14   2.9  962 250  7.4 7  4.4  90    0   40 303 -329  2
4195500 2673500  1  6 15   2.8  963 250  6.6 8  4.3  87    0   20 309 -328  2
4195500 2673500  1  6 16   3.0  964 270  8.1 7  4.2  85    0    5 309 -327  2
4195500 2673500  1  6 17   2.4  965 260  6.2 7  4.2  86    0    0 302 -325  2
4195500 2673500  1  6 18   2.5  967 270  7.5 7  4.2  88    0    0 302 -323  2
4195500 2673500  1  6 19   2.0  968 250  4.9 8  4.1  88    0    0 306 -322  2
4195500 2673500  1  6 20   1.8  969 240  4.4 7  4.0  88    0    0 306 -321  2
4195500 2673500  1  6 21   1.7  970 250  5.6 7  4.0  88    0    0 299 -321  2
4195500 2673500  1  6 22   1.6  970 240  5.1 7  3.9  88    0    0 298 -320  2
4195500 2673500  1  6 23   1.4  971 240  4.8 7  3.8  87    0    0 296 -318  2
4195500 2673500  1  6 24   0.8  971 220  4.6 3  3.8  88    0    0 272 -317  2
4195500 2673500  1  7  1   0.6  971 220  4.3 0  3.7  89    0    0 230 -316  2
4195500 2673500  1  7  2   0.4  972 220  3.6 1  3.7  90    0    0 217 -315  2
4195500 2673500  1  7  3   0.6  971 200  3.9 4  3.6  89    0    0 239 -315  2
4195500 2673500  1  7  4  -0.3  970 200  4.1 2  3.6  89    0    0 244 -313  2
4195500 2673500  1  7  5   0.0  970 190  4.7 4  3.4  88    0    0 242 -310  2
4195500 2673500  1  7  6   0.5  969 180  4.6 1  3.4  84    0    0 237 -310  2
4195500 2673500  1  7  7   1.1  968 180  3.6 2  3.3  78    0    0 226 -312  2
4195500 2673500  1  7  8   1.6  967 180  5.1 4  3.2  74    0    0 243 -314  2
4195500 2673500  1  7  9   3.1  965 170  3.9 5  3.5  74    5   10 264 -316  2
4195500 2673500  1  7 10   3.6  964 190  5.6 8  3.8  75    4   38 293 -317  2
4195500 2673500  1  7 11   3.6  964 160  4.5 8  4.3  83    0   26 313 -320  2
4195500 2673500  1  7 12   3.3  963 210  7.3 8  4.6  90    0   27 312 -326  2
4195500 2673500  1  7 13   3.7  963 240  7.4 8  4.7  92    0   41 313 -330  2
4195500 2673500  1  7 14   4.5  965 240  9.1 6  4.9  91   16   87 306 -332  2
4195500 2673500  1  7 15   4.3  965 240  7.9 7  4.8  88   18   64 303 -333  2
4195500 2673500  1  7 16   4.1  965 240  8.0 5  4.7  88    0   10 298 -332  2
4195500 2673500  1  7 17   3.4  966 230  9.5 3  4.6  88    0    0 277 -329  2
4195500 2673500  1  7 18   3.8  967 230 10.9 2  4.4  85    0    0 262 -325  2
4195500 2673500  1  7 19   4.1  967 240 11.7 5  4.4  84    0    0 272 -323  2
4195500 2673500  1  7 20   3.8  968 230  9.9 4  4.3  82    0    0 280 -324  2
4195500 2673500  1  7 21   3.4  968 240  9.0 3  4.0  78    0    0 267 -326  2
4195500 2673500  1  7 22   3.6  969 230  9.7 4  4.0  78    0    0 266 -326  2
4195500 2673500  1  7 23   3.6  969 230 10.7 5  4.0  78    0    0 274 -325  2
4195500 2673500  1  7 24   3.7  969 230 12.0 5  4.0  78    0    0 278 -326  2
4195500 2673500  1  8  1   4.1  969 230 11.9 3  4.0  77    0    0 268 -327  2
4195500 2673500  1  8  2   4.4  969 240 11.8 2  4.1  76    0    0 255 -327  2
4195500 2673500  1  8  3   4.1  969 240 11.4 5  4.2  77    0    0 265 -326  2
4195500 2673500  1  8  4   3.7  970 240 10.5 6  4.2  80    0    0 285 -326  2
4195500 2673500  1  8  5   3.0  971 240  9.7 7  4.1  82    0    0 294 -325  2
4195500 2673500  1  8  6   3.1  972 230  8.5 6  4.0  82    0    0 293 -325  2
4195500 2673500  1  8  7   3.2  972 240  8.9 7  4.0  80    0    0 293 -326  2
4195500 2673500  1  8  8   3.1  973 230  7.3 8  3.9  80    0    0 303 -325  2
4195500 2673500  1  8  9   3.1  974 250  8.7 6  3.9  79    9   14 297 -324  2
4195500 2673500  1  8 10   3.0  974 240  8.3 4  3.8  78   67   50 275 -324  2
