IDENT_BOOK_L,NAME_BOOK_S,SHORTNAME_BOOK_S,IDENT_PARENT_L,BOOK_PATH_S
15912,"Beschaffung","Beschaffung",15368,"LBK_S/Beschaffung"
110090,"Absatz","Absatz",15368,"LBK_S/Absatz"
15987,"Absatz_HKN","Absatz_HKN",15686,"LBK_HKN/Absatz_HKN"
16062,"Beschaffung_HKN","Beschaffung_HKN",15686,"LBK_HKN/Beschaffung_HKN"
40606696,"Stillschweigende_Verlängerungen","SV",15762,"LBK_S/Absatz/Absatz_HBK/Stillschweigende_Verlängerungen"
16363,"Wärmepumpen","WP",15762,"LBK_S/Absatz/Absatz_HBK/Wärmepumpen"
16213,"Privatkunden_Gesamt","PKG",15762,"LBK_S/Absatz/Absatz_HBK/Privatkunden_Gesamt"
16138,"Geschäftskunden_Gesamt","GKG",15762,"LBK_S/Absatz/Absatz_HBK/Geschäftskunden_Gesamt"
16288,"Nachtspeicher","NSp",15762,"LBK_S/Absatz/Absatz_HBK/Nachtspeicher"
16438,"Fremdkunden","FK",15762,"LBK_S/Absatz/Absatz_HBK/Fremdkunden"
43633660,"Privatkunden_Neu","PK_Neu",15762,"LBK_S/Absatz/Absatz_HBK/Privatkunden_Neu"
43554029,"Ludwig","LUD",15762,"LBK_S/Absatz/Absatz_HBK/Ludwig"
17796,"SchwarmEnergie","Schwarm",15762,"LBK_S/Absatz/Absatz_HBK/SchwarmEnergie"
17946,"Urbana_Anlagen","URB_AN_MPM",15837,"LBK_S/Absatz/Absatz_MPM/Urbana_Anlagen"
17871,"LichtBlick_Anlagen","LBK_AN_MPM",15837,"LBK_S/Absatz/Absatz_MPM/LichtBlick_Anlagen"
18021,"enercity_Anlagen","ECG_AN_MPM",15837,"LBK_S/Absatz/Absatz_MPM/enercity_Anlagen"
16663,"Intraday","ID",15912,"LBK_S/Beschaffung/Intraday"
16738,"Yesterday","YD",15912,"LBK_S/Beschaffung/Yesterday"
16588,"DayAhead","DA",15912,"LBK_S/Beschaffung/DayAhead"
1352653,"Optimierung","OPT",15912,"LBK_S/Beschaffung/Optimierung"
16513,"Termin","TER",15912,"LBK_S/Beschaffung/Termin"
