Koordinatensystem : Lambert konform konisch
Rechtswert        : 4077500 Meter
Hochwert          : 2315500 Meter
Hoehenlage        : 720 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4077500 2315500  1  1  1   0.2  921 152  1.0 8  3.8  91    0    0 305 -327  0
4077500 2315500  1  1  2   0.2  921 104  0.9 8  3.9  92    0    0 306 -327  0
4077500 2315500  1  1  3   0.1  920  76  0.6 7  3.9  93    0    0 296 -326  0
4077500 2315500  1  1  4  -0.2  920 110  0.6 7  3.8  93    0    0 285 -326  0
4077500 2315500  1  1  5  -0.6  920 142  0.6 7  3.7  92    0    0 285 -325  0
4077500 2315500  1  1  6  -1.0  920 346  0.9 8  3.6  92    0    0 290 -325  0
4077500 2315500  1  1  7  -1.2  920 165  1.1 7  3.5  92    0    0 288 -324  0
4077500 2315500  1  1  8  -0.3  920 130  0.6 6  3.6  92    0    0 270 -322  0
4077500 2315500  1  1  9   0.1  921  60  0.5 8  3.9  93   11   14 283 -320  0
4077500 2315500  1  1 10   0.3  922 187  0.2 8  4.0  94    3   62 302 -320  0
4077500 2315500  1  1 11   0.7  923  49  0.8 8  4.0  94   15  105 302 -322  0
4077500 2315500  1  1 12   1.2  923 103  0.6 5  4.1  93   10  123 277 -325  0
4077500 2315500  1  1 13   1.8  923 134  0.1 7  4.2  90   17  136 274 -327  0
4077500 2315500  1  1 14   2.3  924 334  0.2 6  4.2  87   16  125 285 -327  0
4077500 2315500  1  1 15   1.3  924 304  1.0 6  4.0  85   11   80 277 -327  0
4077500 2315500  1  1 16   1.6  923 354  0.0 7  4.0  86    1   36 282 -327  0
4077500 2315500  1  1 17   0.6  923  90  0.2 6  4.0  89    0    0 280 -324  0
4077500 2315500  1  1 18   0.1  924  82  0.7 6  3.8  90    0    0 270 -320  0
4077500 2315500  1  1 19  -0.2  924 179  0.7 7  3.8  91    0    0 276 -317  0
4077500 2315500  1  1 20  -1.1  924 335  0.7 6  3.6  92    0    0 275 -315  0
