Koordinatensystem : Lambert konform konisch
Rechtswert        : 4077500 Meter
Hochwert          : 2315500 Meter
Hoehenlage        : 720 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4077500 2315500  1  1  1  -1.7  934  88  1.4 2  3.5  94    0    0 227 -302  2
4077500 2315500  1  1  2  -1.8  934  76  1.5 2  3.4  92    0    0 217 -301  2
4077500 2315500  1  1  3  -2.0  934  28  1.3 3  3.2  91    0    0 235 -299  2
4077500 2315500  1  1  4  -2.1  934  44  1.1 3  3.2  91    0    0 241 -293  2
4077500 2315500  1  1  5  -2.2  933  92  1.1 3  3.2  91    0    0 213 -284  2
4077500 2315500  1  1  6  -2.1  933 128  1.1 3  3.1  91    0    0 217 -278  2
4077500 2315500  1  1  7  -1.9  932 302  1.3 2  3.2  91    0    0 222 -265  2
4077500 2315500  1  1  8  -2.0  932 134  1.3 5  3.2  90    0    0 231 -250  2
4077500 2315500  1  1  9  -2.8  931 181  0.0 5  3.1  89    0    8 245 -256  2
4077500 2315500  1  1 10  -1.9  931 314  0.2 3  3.1  89    0   35 236 -270  2
4077500 2315500  1  1 11  -1.9  931  44  0.4 8  3.1  87    0   49 252 -277  2
4077500 2315500  1  1 12  -0.4  930 238  0.9 7  3.1  82    0   60 274 -287  2
4077500 2315500  1  1 13   0.3  928 239  1.0 7  3.2  77    0   62 273 -300  2
4077500 2315500  1  1 14  -0.7  927 345  1.1 8  3.1  76    0   87 280 -308  2
4077500 2315500  1  1 15  -1.0  926 321  1.4 8  3.0  77   17  103 286 -309  2
4077500 2315500  1  1 16  -1.3  926 296  1.8 7  3.1  81   46   76 282 -304  2
4077500 2315500  1  1 17  -1.4  925 278  1.5 7  3.2  86    0    8 275 -288  2
4077500 2315500  1  1 18  -1.4  925 289  1.5 7  3.3  87    0    0 276 -269  2
4077500 2315500  1  1 19  -1.7  925 293  1.8 7  3.3  88    0    0 276 -261  2
4077500 2315500  1  1 20  -1.9  925 278  1.7 8  3.3  90    0    0 285 -280  2
4077500 2315500  1  1 21  -2.0  925 212  1.9 8  3.3  90    0    0 292 -299  2
4077500 2315500  1  1 22  -2.1  925 257  2.2 8  3.2  91    0    0 293 -300  2
4077500 2315500  1  1 23  -2.2  924 293  2.0 7  3.2  91    0    0 285 -302  2
4077500 2315500  1  1 24  -2.1  924 309  1.6 5  3.2  90    0    0 263 -302  2
4077500 2315500  1  2  1  -2.4  924 283  1.1 8  3.2  90    0    0 269 -301  2
4077500 2315500  1  2  2  -2.5  923 301  0.4 8  3.1  90    0    0 291 -300  2
4077500 2315500  1  2  3  -2.5  923 320  0.1 7  3.1  91    0    0 281 -301  2
4077500 2315500  1  2  4  -2.5  923 308  0.2 7  3.2  91    0    0 273 -300  2
4077500 2315500  1  2  5  -2.7  924  37  1.2 8  3.1  91    0    0 279 -296  2
4077500 2315500  1  2  6  -2.7  924   8  1.8 8  3.1  91    0    0 287 -290  2
4077500 2315500  1  2  7  -3.1  924  67  1.9 8  3.1  91    0    0 286 -289  2
4077500 2315500  1  2  8  -3.6  924 355  1.7 5  3.0  91    0    0 254 -292  2
4077500 2315500  1  2  9  -3.8  925  26  2.2 6  2.8  90   10   20 227 -293  2
4077500 2315500  1  2 10  -3.6  926 352  2.2 6  2.8  88   78   81 233 -299  2
4077500 2315500  1  2 11  -3.5  926  24  2.4 6  2.8  87  105  127 231 -309  2
4077500 2315500  1  2 12  -3.1  927  58  2.5 8  2.8  86    2  110 256 -316  2
4077500 2315500  1  2 13  -2.4  927  90  2.7 8  2.8  83    0   65 282 -321  2
4077500 2315500  1  2 14  -2.8  927  28  3.2 7  2.8  82    0   90 272 -322  2
4077500 2315500  1  2 15  -3.2  927  44  3.5 8  2.8  84    1   74 272 -321  2
4077500 2315500  1  2 16  -3.6  927   5  3.5 7  2.8  86    0   33 274 -318  2
4077500 2315500  1  2 17  -3.7  928  38  2.8 7  2.8  87    0    7 267 -315  2
4077500 2315500  1  2 18  -4.1  929  16  2.9 8  2.7  89    0    0 276 -314  2
4077500 2315500  1  2 19  -4.4  930 350  3.3 5  2.7  90    0    0 263 -313  2
4077500 2315500  1  2 20  -4.8  930  32  2.8 5  2.7  91    0    0 246 -313  2
4077500 2315500  1  2 21  -5.1  931  35  2.8 5  2.6  91    0    0 246 -313  2
4077500 2315500  1  2 22  -5.3  931   2  2.6 5  2.6  91    0    0 245 -313  2
4077500 2315500  1  2 23  -5.5  931  87  2.3 5  2.5  91    0    0 242 -314  2
4077500 2315500  1  2 24  -5.5  932  84  2.5 4  2.5  91    0    0 235 -314  2
4077500 2315500  1  3  1  -5.6  932 203  1.8 3  2.5  92    0    0 224 -314  2
4077500 2315500  1  3  2  -5.6  933 235  1.3 4  2.5  92    0    0 222 -314  2
4077500 2315500  1  3  3  -5.7  934 269  2.0 8  2.5  91    0    0 249 -314  2
4077500 2315500  1  3  4  -5.9  934 320  1.8 4  2.4  91    0    0 248 -315  2
4077500 2315500  1  3  5  -6.0  935 213  2.3 3  2.4  91    0    0 219 -315  2
4077500 2315500  1  3  6  -6.2  935 188  1.9 4  2.4  92    0    0 218 -315  2
4077500 2315500  1  3  7  -6.3  935  73  1.6 4  2.4  92    0    0 222 -315  2
4077500 2315500  1  3  8  -6.2  936  10  1.1 6  2.3  91    0    0 234 -314  2
4077500 2315500  1  3  9  -6.3  936   2  1.5 6  2.3  90   24    5 245 -314  2
4077500 2315500  1  3 10  -6.3  937  51  2.3 3  2.3  90  139   28 230 -315  2
4077500 2315500  1  3 11  -5.9  936 360  2.4 7  2.3  89   74   71 235 -317  2
4077500 2315500  1  3 12  -4.8  935  19  1.8 5  2.4  86    0   90 246 -318  2
