Koordinatensystem : Lambert konform konisch
Rechtswert        : 4131500 Meter
Hochwert          : 3036500 Meter
Hoehenlage        : 0 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4131500 3036500  1  1  1   0.3 1026 219  2.4 6  3.1  78    0    0 243 -300  1
4131500 3036500  1  1  2  -0.8 1026 168  1.6 5  2.8  76    0    0 244 -300  1
4131500 3036500  1  1  3  -1.8 1025 194  0.8 4  2.5  76    0    0 231 -298  1
4131500 3036500  1  1  4  -2.2 1025 158  0.9 3  2.5  79    0    0 211 -297  1
4131500 3036500  1  1  5  -2.6 1025 178  1.0 3  2.5  80    0    0 205 -295  1
4131500 3036500  1  1  6  -2.8 1024 196  1.7 2  2.5  83    0    0 205 -294  1
4131500 3036500  1  1  7  -2.9 1023 200  1.4 5  2.5  83    0    0 218 -293  1
4131500 3036500  1  1  8  -2.0 1023  87  1.1 6  2.6  83    0    0 238 -292  1
4131500 3036500  1  1  9  -0.9 1023  87  2.3 6  2.8  82    0    0 244 -290  1
4131500 3036500  1  1 10  -0.7 1022  76  2.2 6  2.9  83    1   33 246 -290  1
4131500 3036500  1  1 11  -0.3 1022  81  3.0 7  3.0  84    0   52 250 -292  1
4131500 3036500  1  1 12   0.1 1022  97  2.4 8  3.0  81    0   62 259 -296  1
4131500 3036500  1  1 13   0.1 1021  99  2.3 8  3.0  80    4   90 265 -300  1
4131500 3036500  1  1 14   0.1 1020  92  2.1 6  3.0  80   15   97 256 -303  1
4131500 3036500  1  1 15   0.0 1020  55  4.2 5  3.0  80   14   69 238 -304  1
4131500 3036500  1  1 16   0.2 1019  76  3.8 7  3.0  79    0   15 242 -302  1
4131500 3036500  1  1 17   0.0 1018  69  3.5 8  3.1  80    0    0 265 -299  1
4131500 3036500  1  1 18  -0.3 1018  91  3.5 7  3.2  85    0    0 266 -299  1
4131500 3036500  1  1 19  -0.3 1018 100  3.8 8  3.2  87    0    0 267 -299  1
4131500 3036500  1  1 20  -0.6 1018 111  3.0 7  3.2  88    0    0 267 -299  1
4131500 3036500  1  1 21  -1.0 1018 112  2.4 8  3.2  89    0    0 267 -299  1
4131500 3036500  1  1 22  -1.4 1019 130  1.0 7  3.1  90    0    0 267 -299  1
