Koordinatensystem : Lambert konform konisch
Rechtswert        : 4239500 Meter
Hochwert          : 2434500 Meter
Hoehenlage        : 442 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4239500 2434500  1  1  1  -5.3  951  26  0.0 7  2.5  93    0    0 275 -313  0
4239500 2434500  1  1  2  -5.4  951  13  0.0 7  2.6  95    0    0 275 -313  0
4239500 2434500  1  1  3  -5.4  951  13  0.0 7  2.6  98    0    0 276 -314  0
4239500 2434500  1  1  4  -5.2  951  24  0.0 7  2.6  97    0    0 277 -314  0
4239500 2434500  1  1  5  -5.3  952   1  0.1 8  2.6  96    0    0 283 -314  0
4239500 2434500  1  1  6  -5.0  952  14  0.2 8  2.7  97    0    0 290 -314  0
4239500 2434500  1  1  7  -4.8  952  60  1.0 8  2.7  95    0    0 290 -314  0
4239500 2434500  1  1  8  -4.8  952  32  1.0 8  2.6  93    0    0 290 -315  0
4239500 2434500  1  1  9  -4.8  953   3  1.4 8  2.7  94    1   13 290 -315  0
4239500 2434500  1  1 10  -4.3  953 357  0.7 8  2.7  93    5   65 289 -315  0
4239500 2434500  1  1 11  -3.6  953  22  2.1 7  2.7  90    6  109 283 -316  0
4239500 2434500  1  1 12  -3.3  953 100  1.0 7  2.7  88    2  113 278 -316  0
4239500 2434500  1  1 13  -2.8  954  13  1.4 8  2.7  84    0   95 284 -316  0
4239500 2434500  1  1 14  -2.3  953   0  0.8 8  2.7  80    1  100 290 -316  0
4239500 2434500  1  1 15  -2.2  953   2  1.0 8  2.7  79    0   44 290 -316  0
4239500 2434500  1  1 16  -2.2  953 332  0.9 8  2.7  78    0   10 289 -316  0
4239500 2434500  1  1 17  -2.5  953  50  1.2 7  2.6  78    0    0 283 -315  0
4239500 2434500  1  1 18  -3.0  953  47  1.4 6  2.6  80    0    0 270 -314  0
4239500 2434500  1  1 19  -3.4  953 110  1.1 6  2.7  84    0    0 264 -314  0
4239500 2434500  1  1 20  -3.9  953 106  1.1 5  2.7  88    0    0 258 -314  0
4239500 2434500  1  1 21  -4.2  952   3  1.0 5  2.8  93    0    0 253 -314  0
4239500 2434500  1  1 22  -4.2  952   4  0.7 6  2.8  96    0    0 258 -313  0
4239500 2434500  1  1 23  -4.2  953   1  0.7 6  2.8  96    0    0 264 -313  0
4239500 2434500  1  1 24  -4.4  952  76  0.9 7  2.9  98    0    0 269 -313  0
4239500 2434500  1  2  1  -4.0  953  63  1.2 6  2.8  96    0    0 269 -313  0
4239500 2434500  1  2  2  -3.8  952   5  0.9 7  2.9  95    0    0 269 -313  0
4239500 2434500  1  2  3  -3.8  952 290  1.0 8  2.9  96    0    0 281 -314  0
4239500 2434500  1  2  4  -3.7  952  87  1.7 8  2.9  96    0    0 286 -314  0
4239500 2434500  1  2  5  -3.5  953   6  0.7 8  3.0  96    0    0 286 -313  0
4239500 2434500  1  2  6  -3.5  953  45  1.2 6  3.0  96    0    0 275 -312  0
4239500 2434500  1  2  7  -3.4  954 335  1.5 7  3.0  95    0    0 269 -311  0
4239500 2434500  1  2  8  -3.2  954  36  0.9 8  2.9  94    0    0 280 -312  0
4239500 2434500  1  2  9  -3.4  954 270  1.1 8  2.9  93    2   16 285 -314  0
4239500 2434500  1  2 10  -3.1  955 251  1.4 8  2.9  93    0   49 285 -315  0
4239500 2434500  1  2 11  -2.4  956   5  0.8 8  3.0  91    0   66 287 -316  0
4239500 2434500  1  2 12  -2.3  956   4  0.6 8  3.0  89    0   61 287 -316  0
4239500 2434500  1  2 13  -1.7  956 235  1.5 8  3.1  89    0   65 288 -316  0
4239500 2434500  1  2 14  -1.7  956 253  1.4 8  3.1  88    0   61 290 -316  0
4239500 2434500  1  2 15  -1.2  956   0  1.6 8  3.2  88    0   44 291 -317  0
4239500 2434500  1  2 16  -1.6  957 248  2.5 8  3.2  88    0   21 292 -317  0
4239500 2434500  1  2 17  -2.1  958 306  2.0 8  3.0  87    0    2 290 -317  0
4239500 2434500  1  2 18  -2.4  958 283  1.8 7  3.0  89    0    0 283 -317  0
4239500 2434500  1  2 19  -2.4  958 318  2.0 8  3.0  90    0    0 282 -316  0
4239500 2434500  1  2 20  -2.5  959 294  1.9 8  3.0  91    0    0 288 -316  0
4239500 2434500  1  2 21  -2.4  960 294  2.3 8  3.1  92    0    0 287 -316  0
4239500 2434500  1  2 22  -2.3  961 312  1.5 8  3.1  92    0    0 286 -316  0
4239500 2434500  1  2 23  -2.2  962 271  1.8 8  3.1  93    0    0 286 -316  0
4239500 2434500  1  2 24  -2.1  962 277  2.4 8  3.2  94    0    0 286 -316  0
4239500 2434500  1  3  1  -1.9  963 276  2.1 8  3.2  94    0    0 285 -316  0
4239500 2434500  1  3  2  -2.0  963 295  2.4 4  3.4  97    0    0 261 -316  0
4239500 2434500  1  3  3  -1.9  963 284  2.6 8  3.5 100    0    0 260 -316  0
4239500 2434500  1  3  4  -2.4  964 312  3.6 4  3.4 100    0    0 259 -316  0
4239500 2434500  1  3  5  -2.5  964 301  3.4 8  3.3  98    0    0 258 -316  0
4239500 2434500  1  3  6  -2.8  965 296  3.4 8  3.2  97    0    0 280 -316  0
4239500 2434500  1  3  7  -3.1  965 296  3.5 8  3.1  97    0    0 279 -316  0
4239500 2434500  1  3  8  -3.2  966 298  3.6 8  3.0  96    0    0 278 -316  0
4239500 2434500  1  3  9  -3.4  967 300  2.4 8  3.0  96    1   13 277 -316  0
4239500 2434500  1  3 10  -3.5  968 300  3.6 8  2.9  94    1   54 275 -316  0
4239500 2434500  1  3 11  -3.6  969 307  3.3 8  2.9  94    0   53 273 -316  0
4239500 2434500  1  3 12  -3.6  969 298  2.8 7  2.9  97    0   57 270 -316  0
4239500 2434500  1  3 13  -3.6  969 307  2.1 7  2.9  95    0   79 264 -316  0
4239500 2434500  1  3 14  -3.6  969 307  2.0 5  2.9  94    4  117 254 -317  0
4239500 2434500  1  3 15  -3.2  969 278  2.5 6  2.9  94    6   94 251 -318  0
4239500 2434500  1  3 16  -3.3  970 297  2.2 8  2.9  93    0   26 267 -318  0
4239500 2434500  1  3 17  -3.5  970 276  2.4 8  2.9  94    0    3 278 -317  0
4239500 2434500  1  3 18  -3.6  971 289  2.1 8  2.9  95    0    0 278 -317  0
4239500 2434500  1  3 19  -3.6  970 304  1.6 7  2.8  92    0    0 272 -316  0
4239500 2434500  1  3 20  -3.8  971 279  0.9 7  2.8  92    0    0 267 -316  0
4239500 2434500  1  3 21  -3.8  971 337  0.0 7  2.7  92    0    0 266 -316  0
4239500 2434500  1  3 22  -3.6  971 244  1.6 7  2.7  89    0    0 266 -316  0
4239500 2434500  1  3 23  -4.0  971 200  1.3 7  2.7  90    0    0 265 -316  0
4239500 2434500  1  3 24  -4.0  971  20  0.5 6  2.7  91    0    0 260 -316  0
4239500 2434500  1  4  1  -4.2  971 317  0.3 7  2.7  92    0    0 258 -314  0
4239500 2434500  1  4  2  -4.2  971 323  0.2 6  2.7  92    0    0 257 -310  0
4239500 2434500  1  4  3  -4.3  971 319  0.2 7  2.7  92    0    0 257 -307  0
4239500 2434500  1  4  4  -4.5  971 291  0.6 7  2.6  92    0    0 262 -306  0
4239500 2434500  1  4  5  -4.4  971 279  0.4 8  2.6  92    0    0 266 -306  0
4239500 2434500  1  4  6  -4.4  971   7  0.0 8  2.7  93    0    0 272 -304  0
4239500 2434500  1  4  7  -4.4  970 350  0.7 8  2.7  94    0    0 271 -303  0
4239500 2434500  1  4  8  -4.2  970 355  1.2 8  2.7  94    0    0 270 -302  0
4239500 2434500  1  4  9  -4.2  969   0  1.1 8  2.7  94    3   18 269 -302  0
4239500 2434500  1  4 10  -3.9  969   3  1.0 8  2.8  95    5   69 270 -302  0
4239500 2434500  1  4 11  -3.6  970 325  0.9 7  2.8  94    1   93 267 -304  0
4239500 2434500  1  4 12  -2.9  970 342  0.7 6  2.8  91    2  123 258 -306  0
4239500 2434500  1  4 13  -1.6  969 354  0.5 6  2.8  84    2  127 255 -309  0
4239500 2434500  1  4 14  -0.3  968 237  2.2 6  2.7  72    3  122 258 -309  0
4239500 2434500  1  4 15  -0.3  967 215  1.7 4  2.5  65   19  127 250 -309  0
4239500 2434500  1  4 16  -1.6  966 200  2.0 6  2.4  64    6   62 247 -308  0
4239500 2434500  1  4 17  -2.8  966 231  2.3 6  2.4  70    0    4 250 -306  0
4239500 2434500  1  4 18  -3.3  966   1  1.0 7  2.4  74    0    0 251 -303  0
4239500 2434500  1  4 19  -4.3  967  86  1.1 3  2.3  77    0    0 238 -302  0
4239500 2434500  1  4 20  -5.7  965  12  1.0 0  2.3  86    0    0 209 -301  0
4239500 2434500  1  4 21  -6.4  965 349  0.8 0  2.4  94    0    0 196 -300  0
4239500 2434500  1  4 22  -6.9  965  40  1.0 0  2.3  97    0    0 193 -298  0
4239500 2434500  1  4 23  -7.5  965  71  0.7 0  2.3  98    0    0 192 -297  0
4239500 2434500  1  4 24  -7.8  964  75  1.1 0  2.2 100    0    0 190 -296  0
4239500 2434500  1  5  1  -7.7  964  88  1.1 0  2.1  97    0    0 189 -295  0
4239500 2434500  1  5  2  -7.6  963 120  1.2 1  2.1  95    0    0 193 -293  0
4239500 2434500  1  5  3  -9.1  963 107  2.2 1  2.1  98    0    0 196 -291  0
4239500 2434500  1  5  4  -9.9  962  36  2.0 1  1.9  96    0    0 194 -289  0
4239500 2434500  1  5  5 -10.0  962  79  2.1 0  1.8  96    0    0 188 -287  0
4239500 2434500  1  5  6 -10.3  961 360  1.0 0  1.8 100    0    0 185 -285  0
4239500 2434500  1  5  7 -10.8  961  22  2.0 1  1.8  98    0    0 188 -285  0
4239500 2434500  1  5  8 -11.1  960  44  2.2 3  1.6  95    0    0 198 -284  0
4239500 2434500  1  5  9 -11.5  960  40  2.2 3  1.6  94   26    9 205 -284  0
4239500 2434500  1  5 10  -8.9  961   1  1.8 0  1.7  94  115   23 195 -286  0
4239500 2434500  1  5 11  -6.0  960 107  2.4 2  1.9  84  151   53 197 -290  0
4239500 2434500  1  5 12  -4.5  960  38  2.0 2  1.9  71  127  101 209 -296  0
4239500 2434500  1  5 13  -3.4  959 129  2.7 3  1.9  64   86  128 216 -301  0
4239500 2434500  1  5 14  -3.2  958 133  3.2 3  1.9  62   77  116 222 -305  0
4239500 2434500  1  5 15  -3.3  957  94  2.6 2  2.0  63   69   83 219 -306  0
4239500 2434500  1  5 16  -4.7  956 103  2.6 1  1.9  65   44   40 208 -304  0
4239500 2434500  1  5 17  -5.9  956 131  3.3 1  1.8  68    0    6 200 -299  0
4239500 2434500  1  5 18  -8.0  956 101  3.3 1  1.8  75    0    0 195 -295  0
