Koordinatensystem : Lambert konform konisch
Rechtswert        : 4239500 Meter
Hochwert          : 2434500 Meter
Hoehenlage        : 442 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4239500 2434500  1  1  1  -0.9  965 193  1.8 2  3.4  93    0    0 223 -310  2
4239500 2434500  1  1  2  -0.8  965 209  2.0 2  3.5  93    0    0 221 -310  2
4239500 2434500  1  1  3  -1.1  965 192  2.1 3  3.5  94    0    0 221 -308  2
4239500 2434500  1  1  4  -1.7  965 204  2.1 4  3.4  94    0    0 251 -308  2
4239500 2434500  1  1  5  -2.4  965 222  2.2 6  3.3  95    0    0 282 -309  2
4239500 2434500  1  1  6  -3.1  965 252  2.3 6  3.1  97    0    0 276 -310  2
4239500 2434500  1  1  7  -3.1  965 357  1.5 6  3.1  97    0    0 271 -309  2
4239500 2434500  1  1  8  -3.1  965  53  1.0 5  3.1  98    0    0 266 -309  2
4239500 2434500  1  1  9  -3.0  966 251  2.8 5  3.1  98    6   16 262 -308  2
4239500 2434500  1  1 10  -2.8  966 174  2.0 6  3.2  98   12   70 266 -308  2
4239500 2434500  1  1 11  -2.4  966 144  1.4 7  3.2  98    9  102 276 -311  2
4239500 2434500  1  1 12  -2.2  966 151  1.7 8  3.3  98   10  126 285 -315  2
4239500 2434500  1  1 13  -2.2  966 144  2.5 8  3.3  98    4  117 289 -319  2
4239500 2434500  1  1 14  -2.0  965 152  2.5 8  3.4  98    4  110 288 -323  2
4239500 2434500  1  1 15  -2.1  964 157  2.6 7  3.4  98    5   88 282 -321  2
4239500 2434500  1  1 16  -2.1  964 145  2.6 5  3.4  98    0   34 266 -318  2
4239500 2434500  1  1 17  -2.3  963 142  1.8 6  3.3  98    0    1 257 -316  2
4239500 2434500  1  1 18  -2.4  963 155  2.2 7  3.3  98    0    0 265 -315  2
4239500 2434500  1  1 19  -2.5  963 157  2.9 7  3.3  98    0    0 269 -314  2
4239500 2434500  1  1 20  -2.7  963 140  3.4 8  3.2  98    0    0 274 -313  2
4239500 2434500  1  1 21  -2.7  963 108  3.7 8  3.2  98    0    0 281 -313  2
4239500 2434500  1  1 22  -2.5  962  66  2.8 8  3.2  98    0    0 281 -312  2
4239500 2434500  1  1 23  -2.3  962  73  2.4 8  3.3  98    0    0 284 -311  2
4239500 2434500  1  1 24  -2.3  961  94  2.1 8  3.3  98    0    0 285 -310  2
4239500 2434500  1  2  1  -2.4  960  29  1.1 8  3.3  98    0    0 285 -309  2
4239500 2434500  1  2  2  -2.5  960 116  2.2 8  3.3  98    0    0 286 -310  2
4239500 2434500  1  2  3  -2.4  959  72  1.2 8  3.3  97    0    0 287 -311  2
4239500 2434500  1  2  4  -2.5  959 154  1.5 8  3.3  97    0    0 288 -312  2
4239500 2434500  1  2  5  -2.1  958 193  2.8 8  3.3  98    0    0 290 -313  2
4239500 2434500  1  2  6  -1.9  958 137  2.8 7  3.4  98    0    0 278 -314  2
4239500 2434500  1  2  7  -1.8  957 102  1.9 7  3.4  97    0    0 266 -315  2
4239500 2434500  1  2  8  -2.0  955 145  1.9 8  3.4  98    0    0 278 -315  2
4239500 2434500  1  2  9  -1.7  955 201  2.5 8  3.4  98    1   10 291 -316  2
4239500 2434500  1  2 10  -1.4  955 142  3.0 8  3.5  98    0   37 291 -318  2
4239500 2434500  1  2 11  -1.2  956 186  4.1 6  3.6  98    3   81 268 -323  2
4239500 2434500  1  2 12  -1.0  955 187  3.9 5  3.6  98   12  115 236 -327  2
4239500 2434500  1  2 13  -0.3  955 180  3.1 7  3.8  98   12  124 252 -332  2
4239500 2434500  1  2 14   0.0  953 261  4.5 6  3.9  98   37  122 269 -337  2
4239500 2434500  1  2 15  -0.3  952 340  3.5 7  3.9  98   23   89 271 -337  2
4239500 2434500  1  2 16  -0.5  952 335  3.2 4  3.8  98    8   43 254 -335  2
4239500 2434500  1  2 17  -1.0  951  34  2.3 4  3.7  97    0    4 234 -332  2
4239500 2434500  1  2 18  -1.1  950  29  2.4 4  3.6  98    0    0 235 -329  2
