Koordinatensystem : Lambert konform konisch
Rechtswert        : 4239500 Meter
Hochwert          : 2434500 Meter
Hoehenlage        : 442 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4239500 2434500  1  1  1  -1.7  963 184  2.8 4  3.3  92    0    0 226 -305  2
4239500 2434500  1  1  2  -2.3  963 184  3.0 4  3.1  93    0    0 225 -303  2
4239500 2434500  1  1  3  -2.7  963 186  2.9 4  3.1  93    0    0 211 -301  2
4239500 2434500  1  1  4  -3.0  963 175  3.0 4  3.0  94    0    0 205 -300  2
4239500 2434500  1  1  5  -3.3  962 152  3.1 4  3.0  95    0    0 211 -300  2
4239500 2434500  1  1  6  -3.6  963 160  4.2 4  3.0  96    0    0 210 -298  2
4239500 2434500  1  1  7  -3.8  963  78  3.5 4  3.0  98    0    0 209 -296  2
4239500 2434500  1  1  8  -4.0  962 293  2.2 3  2.9  98    0    0 203 -295  2
4239500 2434500  1  1  9  -4.1  963   7  3.5 3  2.9  99   13   16 198 -293  2
4239500 2434500  1  1 10  -3.8  963 132  2.9 7  3.0 100   56   59 224 -295  2
4239500 2434500  1  1 11  -2.2  963  85  4.0 5  3.1  97   97  101 239 -301  2
4239500 2434500  1  1 12  -2.0  964 120  3.5 5  3.2  93  124  127 229 -309  2
4239500 2434500  1  1 13  -1.1  963 339  3.2 4  3.2  91  148  126 225 -313  2
4239500 2434500  1  1 14  -1.2  963  51  3.2 5  3.3  90  110  122 227 -315  2
4239500 2434500  1  1 15  -1.6  963 184  3.9 5  3.3  91   41  100 233 -316  2
4239500 2434500  1  1 16  -2.2  963 161  4.0 6  3.2  94    1   40 239 -316  2
4239500 2434500  1  1 17  -2.6  963 208  3.5 7  3.2  96    0    1 250 -315  2
4239500 2434500  1  1 18  -3.0  963 186  3.7 7  3.2  98    0    0 255 -311  2
4239500 2434500  1  1 19  -3.5  963 145  3.1 6  3.1  99    0    0 250 -307  2
4239500 2434500  1  1 20  -3.6  964  81  3.1 6  3.1 100    0    0 244 -304  2
4239500 2434500  1  1 21  -3.9  964 145  3.3 6  3.0 100    0    0 244 -304  2
4239500 2434500  1  1 22  -4.0  964 149  3.9 5  3.0 100    0    0 238 -306  2
4239500 2434500  1  1 23  -4.3  964 152  4.0 5  2.9 100    0    0 232 -306  2
4239500 2434500  1  1 24  -4.3  964 150  3.8 5  2.9 100    0    0 232 -306  2
4239500 2434500  1  2  1  -4.4  964 148  3.5 7  2.9 100    0    0 241 -307  2
4239500 2434500  1  2  2  -4.5  965 150  3.5 7  2.9 100    0    0 250 -307  2
4239500 2434500  1  2  3  -4.5  964 123  3.5 3  2.8 100    0    0 232 -307  2
4239500 2434500  1  2  4  -4.6  964  68  3.2 8  2.8 100    0    0 238 -306  2
4239500 2434500  1  2  5  -4.7  964   3  2.8 7  2.8 100    0    0 258 -304  2
4239500 2434500  1  2  6  -4.7  964  44  2.9 7  2.8 100    0    0 254 -302  2
4239500 2434500  1  2  7  -4.7  964  97  2.3 7  2.8 100    0    0 255 -299  2
4239500 2434500  1  2  8  -4.7  963 160  2.3 6  2.8 100    0    0 249 -298  2
4239500 2434500  1  2  9  -4.6  963 175  2.3 7  2.8  99    2   14 251 -299  2
4239500 2434500  1  2 10  -4.7  963 107  2.1 8  2.8 100    2   53 261 -300  2
4239500 2434500  1  2 11  -4.4  963 101  2.8 8  2.8 100    1   76 266 -304  2
4239500 2434500  1  2 12  -4.2  963 164  1.5 8  2.9  99    2  101 267 -310  2
4239500 2434500  1  2 13  -3.9  962  42  2.0 8  2.9  99    2  108 268 -314  2
4239500 2434500  1  2 14  -3.8  961 347  2.1 8  3.0  99    1   93 268 -316  2
4239500 2434500  1  2 15  -4.2  961 100  2.0 8  2.9  99    3   80 268 -316  2
4239500 2434500  1  2 16  -4.2  960  71  2.0 7  2.9  99    0   36 263 -316  2
4239500 2434500  1  2 17  -4.3  960 111  2.2 8  2.9  99    0    1 264 -315  2
4239500 2434500  1  2 18  -4.3  960 110  2.0 8  2.9  98    0    0 271 -313  2
4239500 2434500  1  2 19  -4.3  960  63  1.6 8  2.9  98    0    0 271 -310  2
4239500 2434500  1  2 20  -4.4  961  26  2.0 8  2.8  98    0    0 272 -308  2
4239500 2434500  1  2 21  -4.6  961  78  1.1 8  2.8  98    0    0 273 -307  2
4239500 2434500  1  2 22  -4.7  961 130  1.4 8  2.8  98    0    0 274 -304  2
4239500 2434500  1  2 23  -4.6  961 151  2.1 8  2.8  98    0    0 275 -301  2
4239500 2434500  1  2 24  -4.7  961 182  1.3 8  2.8  97    0    0 276 -299  2
4239500 2434500  1  3  1  -4.5  961 172  3.3 7  2.7  97    0    0 270 -298  2
4239500 2434500  1  3  2  -4.4  961 161  1.7 7  2.8  96    0    0 265 -300  2
4239500 2434500  1  3  3  -4.6  961 175  1.5 8  2.8  96    0    0 272 -305  2
4239500 2434500  1  3  4  -4.4  961 189  1.4 4  2.8  96    0    0 254 -306  2
4239500 2434500  1  3  5  -4.3  961 190  1.4 8  2.8  96    0    0 253 -307  2
4239500 2434500  1  3  6  -4.0  961 207  1.5 5  2.8  97    0    0 260 -308  2
4239500 2434500  1  3  7  -3.7  961 223  1.8 5  2.9  97    0    0 242 -309  2
4239500 2434500  1  3  8  -3.4  962 243  1.7 8  3.0  97    0    0 262 -309  2
4239500 2434500  1  3  9  -2.8  962 267  1.9 8  3.1  97    4   14 282 -311  2
4239500 2434500  1  3 10  -2.5  962 266  1.8 7  3.2  97   20   63 278 -313  2
4239500 2434500  1  3 11  -1.8  962 231  1.9 6  3.3  97   40  110 268 -315  2
4239500 2434500  1  3 12  -0.6  963 221  1.8 5  3.6  98   98  131 261 -316  2
4239500 2434500  1  3 13   0.0  963 240  2.5 3  3.8  98  181  108 247 -316  2
4239500 2434500  1  3 14   1.4  962 254  3.1 3  4.1  97  110  118 240 -317  2
4239500 2434500  1  3 15   2.8  961 238  1.7 3  4.4  95   74   92 246 -319  2
4239500 2434500  1  3 16   2.3  960 180  2.2 3  4.5  93   22   49 250 -318  2
4239500 2434500  1  3 17   1.8  959 173  3.0 3  4.3  93    0    4 247 -316  2
4239500 2434500  1  3 18   1.1  958 225  2.9 5  4.2  94    0    0 255 -316  2
4239500 2434500  1  3 19   0.1  956 219  6.4 8  4.0  95    0    0 280 -316  2
4239500 2434500  1  3 20  -0.4  956 168  4.9 5  3.8  97    0    0 280 -316  2
4239500 2434500  1  3 21   0.0  957 219  2.1 5  3.8  97    0    0 266 -315  2
4239500 2434500  1  3 22   0.7  957 187  3.9 8  4.0  97    0    0 286 -314  2
4239500 2434500  1  3 23   1.1  957 213  4.8 8  4.2  97    0    0 304 -313  2
4239500 2434500  1  3 24   1.2  958  95  5.6 8  4.2  97    0    0 302 -313  2
4239500 2434500  1  4  1   4.7  959 124  8.5 8  4.7  94    0    0 308 -315  2
4239500 2434500  1  4  2   4.7  960 250  6.6 8  5.1  90    0    0 314 -316  2
4239500 2434500  1  4  3   4.9  960 261  6.7 8  4.9  87    0    0 315 -316  2
4239500 2434500  1  4  4   4.7  963 239  7.2 8  4.7  84    0    0 317 -317  2
4239500 2434500  1  4  5   4.8  964 262  8.6 8  4.5  80    0    0 318 -317  2
4239500 2434500  1  4  6   4.4  964 281  7.1 8  4.2  76    0    0 318 -318  2
4239500 2434500  1  4  7   4.2  964 290  5.3 8  4.2  77    0    0 317 -320  2
4239500 2434500  1  4  8   4.2  965 261  4.5 8  4.2  79    0    0 316 -321  2
4239500 2434500  1  4  9   3.8  965 255  2.8 7  4.3  81    0    4 311 -321  2
4239500 2434500  1  4 10   3.8  966 259  2.5 7  4.3  83    0   33 306 -323  2
4239500 2434500  1  4 11   4.0  967 232  2.5 8  4.4  83    0   65 313 -324  2
4239500 2434500  1  4 12   3.8  967 220  4.1 7  4.5  85    2   91 314 -327  2
4239500 2434500  1  4 13   5.8  966 237  5.5 7  4.7  84    4   95 311 -331  2
4239500 2434500  1  4 14   5.3  967 190  3.4 8  5.1  86    0   34 322 -331  2
4239500 2434500  1  4 15   4.3  967  85  1.6 6  5.2  93    0   45 314 -328  2
4239500 2434500  1  4 16   4.1  966  65  1.7 8  5.1  96    0   30 313 -324  2
4239500 2434500  1  4 17   4.3  966  96  2.2 8  5.3  98    0    2 327 -322  2
4239500 2434500  1  4 18   4.3  966 234  1.9 8  5.3  99    0    0 328 -321  2
4239500 2434500  1  4 19   5.1  967 237  2.6 8  5.5  99    0    0 329 -323  2
4239500 2434500  1  4 20   5.2  968 232  1.9 4  5.7  99    0    0 298 -328  2
4239500 2434500  1  4 21   4.9  968 228  2.8 4  5.6  99    0    0 263 -332  2
4239500 2434500  1  4 22   4.9  967 228  2.8 8  5.6  99    0    0 295 -334  2
4239500 2434500  1  4 23   4.9  968 245  2.2 6  5.6  99    0    0 311 -335  2
4239500 2434500  1  4 24   6.0  969 254  3.7 7  5.8  99    0    0 305 -336  2
4239500 2434500  1  5  1   6.3  969 233  2.0 7  5.9  96    0    0 314 -338  2
4239500 2434500  1  5  2   5.3  969 249  2.7 7  5.7  94    0    0 312 -339  2
4239500 2434500  1  5  3   6.6  969 251  2.8 8  5.7  94    0    0 321 -339  2
4239500 2434500  1  5  4   6.3  970 261  3.3 8  5.9  94    0    0 330 -340  2
4239500 2434500  1  5  5   6.7  971 264  2.8 7  5.9  93    0    0 321 -340  2
4239500 2434500  1  5  6   5.3  971 284  2.6 5  5.6  93    0    0 296 -340  2
4239500 2434500  1  5  7   5.5  970 260  3.2 5  5.5  94    0    0 278 -339  2
4239500 2434500  1  5  8   5.9  970 274  3.0 7  5.6  93    0    0 294 -338  2
4239500 2434500  1  5  9   5.4  971 262  2.4 7  5.5  93   11   17 309 -337  2
4239500 2434500  1  5 10   5.3  971 284  1.6 7  5.3  92   44   67 306 -336  2
4239500 2434500  1  5 11   6.0  971 322  1.5 6  5.5  92   46  118 301 -339  2
4239500 2434500  1  5 12   7.7  972  67  1.5 5  5.8  90  123  138 292 -346  2
4239500 2434500  1  5 13   8.7  971  79  1.6 6  6.2  88  102  151 295 -352  2
4239500 2434500  1  5 14   8.8  971  73  2.1 6  6.4  87   80  139 302 -354  2
4239500 2434500  1  5 15   9.2  970  70  2.0 5  6.3  85   51  106 297 -352  2
4239500 2434500  1  5 16   8.2  970  62  2.0 5  6.3  87   20   53 291 -347  2
4239500 2434500  1  5 17   7.8  969  47  1.9 5  6.3  90    0    2 288 -340  2
4239500 2434500  1  5 18   7.6  970  58  1.9 3  6.2  90    0    0 278 -333  2
4239500 2434500  1  5 19   6.3  970  63  1.7 2  6.1  94    0    0 264 -327  2
4239500 2434500  1  5 20   4.7  970  71  1.0 1  5.7  97    0    0 251 -321  2
4239500 2434500  1  5 21   5.1  970 148  1.2 8  5.5  98    0    0 270 -316  2
4239500 2434500  1  5 22   3.8  970 120  2.1 5  5.3  98    0    0 280 -316  2
4239500 2434500  1  5 23   3.1  970 157  1.8 6  5.0  98    0    0 267 -316  2
