Koordinatensystem : Lambert konform konisch
Rechtswert        : 3999500 Meter
Hochwert          : 2975500 Meter
Hoehenlage        : 8 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3999500 2975500  1  1  1   4.3 1014 245  5.8 8  4.8  93    0    0 310 -316  3
3999500 2975500  1  1  2   3.3 1014 248  6.2 8  4.5  94    0    0 310 -316  3
3999500 2975500  1  1  3   2.6 1013 252  6.6 8  4.3  95    0    0 306 -316  3
3999500 2975500  1  1  4   2.9 1012 256  6.8 8  4.4  95    0    0 301 -316  3
3999500 2975500  1  1  5   3.1 1012 261  6.9 8  4.5  96    0    0 303 -316  3
3999500 2975500  1  1  6   3.4 1011 260  6.9 8  4.6  96    0    0 308 -316  3
3999500 2975500  1  1  7   3.7 1010 279  6.9 7  4.7  96    0    0 306 -316  3
3999500 2975500  1  1  8   3.1 1010 278  6.1 6  4.6  94    0    0 297 -316  3
3999500 2975500  1  1  9   2.9 1011 280  6.2 4  4.2  89    0    1 282 -316  3
3999500 2975500  1  1 10   3.3 1011 281  6.2 4  4.0  85    9   35 271 -316  3
3999500 2975500  1  1 11   3.5 1011 291  6.4 2  4.0  83   24   72 261 -316  3
3999500 2975500  1  1 12   3.5 1012 292  6.5 2  4.0  83   39   97 250 -315  3
3999500 2975500  1  1 13   3.8 1012 291  6.2 1  4.0  81   66  102 242 -314  3
3999500 2975500  1  1 14   3.7 1012 291  6.4 1  4.0  80   44   94 233 -312  3
3999500 2975500  1  1 15   3.6 1012 301  6.5 1  3.9  79   17   66 230 -311  3
3999500 2975500  1  1 16   3.3 1012 290  6.0 6  3.8  78    0   13 260 -310  3
3999500 2975500  1  1 17   2.9 1012 291  5.4 7  3.8  80    0    0 296 -308  3
3999500 2975500  1  1 18   2.2 1013 301  5.2 5  3.8  82    0    0 289 -306  3
3999500 2975500  1  1 19   1.7 1013 291  4.8 3  3.7  84    0    0 262 -306  3
3999500 2975500  1  1 20   1.2 1013 281  4.5 2  3.5  84    0    0 241 -305  3
3999500 2975500  1  1 21   1.1 1014 281  3.9 0  3.5  85    0    0 221 -304  3
3999500 2975500  1  1 22   1.2 1014 271  3.5 3  3.5  86    0    0 227 -303  3
3999500 2975500  1  1 23   1.7 1014 281  3.7 4  3.6  86    0    0 252 -303  3
3999500 2975500  1  1 24   1.9 1014 291  4.5 5  3.8  88    0    0 264 -303  3
3999500 2975500  1  2  1   1.5 1014 280  4.2 5  3.8  89    0    0 268 -303  3
3999500 2975500  1  2  2   0.8 1014 280  3.5 4  3.8  92    0    0 260 -303  3
3999500 2975500  1  2  3   0.6 1014 281  3.3 4  3.7  93    0    0 251 -303  3
3999500 2975500  1  2  4   0.8 1014 271  3.4 5  3.7  92    0    0 256 -302  3
3999500 2975500  1  2  5   1.0 1014 271  4.1 5  3.6  90    0    0 260 -301  3
3999500 2975500  1  2  6   0.6 1014 281  3.5 3  3.6  89    0    0 248 -300  3
3999500 2975500  1  2  7   0.1 1015 291  3.5 2  3.6  92    0    0 232 -299  3
3999500 2975500  1  2  8  -0.4 1015 281  3.5 2  3.5  94    0    0 226 -298  3
3999500 2975500  1  2  9  -0.7 1015 281  3.2 3  3.4  95    0    2 227 -298  3
3999500 2975500  1  2 10  -0.2 1016 281  3.4 3  3.5  94   17   34 230 -299  3
3999500 2975500  1  2 11   0.7 1016 281  3.8 2  3.5  91   47   66 227 -302  3
3999500 2975500  1  2 12   1.6 1017 292  3.4 3  3.6  86   89   79 228 -305  3
3999500 2975500  1  2 13   2.7 1017 292  3.9 2  3.5  80   80   93 230 -309  3
3999500 2975500  1  2 14   2.6 1017 281  3.8 4  3.5  77   12   86 237 -311  3
3999500 2975500  1  2 15   2.6 1016 281  3.7 4  3.6  79    0   45 249 -310  3
3999500 2975500  1  2 16   2.0 1017 280  3.4 5  3.6  81    0   11 254 -307  3
3999500 2975500  1  2 17   1.8 1017 280  3.0 4  3.6  83    0    0 254 -304  3
3999500 2975500  1  2 18   0.9 1017 291  2.6 4  3.5  84    0    0 247 -301  3
3999500 2975500  1  2 19   1.1 1017 270  2.5 5  3.5  86    0    0 250 -298  3
3999500 2975500  1  2 20   1.4 1017 279  2.8 5  3.5  85    0    0 256 -296  3
3999500 2975500  1  2 21   0.9 1018 280  3.1 4  3.6  87    0    0 250 -294  3
3999500 2975500  1  2 22   0.3 1018 290  2.3 5  3.6  90    0    0 249 -293  3
3999500 2975500  1  2 23   0.7 1018 280  2.6 6  3.6  91    0    0 256 -292  3
3999500 2975500  1  2 24   0.0 1018 280  2.0 6  3.6  92    0    0 260 -291  3
3999500 2975500  1  3  1   0.3 1019 280  2.2 5  3.6  93    0    0 256 -290  3
3999500 2975500  1  3  2  -0.7 1018 290  2.5 5  3.5  95    0    0 249 -290  3
3999500 2975500  1  3  3  -1.5 1018 330  2.0 5  3.3  96    0    0 246 -289  3
3999500 2975500  1  3  4  -1.7 1019 320  2.5 6  3.3  97    0    0 247 -288  3
3999500 2975500  1  3  5  -2.3 1019 281  2.4 8  3.2  98    0    0 258 -287  3
3999500 2975500  1  3  6  -2.3 1019 291  2.9 8  3.2  99    0    0 264 -286  3
3999500 2975500  1  3  7  -2.3 1019 310  2.4 7  3.2  99    0    0 258 -286  3
3999500 2975500  1  3  8  -2.5 1019 270  2.2 7  3.1  99    0    0 254 -287  3
3999500 2975500  1  3  9  -2.7 1019 261  1.9 5  3.1  99    0    1 244 -290  3
3999500 2975500  1  3 10  -2.3 1020 250  2.1 7  3.1  99    1   32 242 -294  3
3999500 2975500  1  3 11  -2.2 1020 229  2.1 3  3.2  99    8   68 230 -298  3
3999500 2975500  1  3 12  -2.2 1020 209  2.9 4  3.2  99   18  100 211 -303  3
3999500 2975500  1  3 13  -1.2 1020 218  3.0 3  3.2  96   57  112 211 -307  3
3999500 2975500  1  3 14   0.6 1020 249  2.6 3  3.3  90   47  103 210 -309  3
3999500 2975500  1  3 15   0.2 1019 229  2.7 6  3.5  90    6   62 231 -309  3
3999500 2975500  1  3 16  -0.1 1019 228  2.7 7  3.5  93    0   21 254 -307  3
3999500 2975500  1  3 17  -0.1 1019 239  2.7 8  3.5  94    0    0 265 -306  3
3999500 2975500  1  3 18   0.0 1019 229  2.9 8  3.6  96    0    0 272 -306  3
3999500 2975500  1  3 19   0.4 1019 239  2.4 8  3.7  97    0    0 277 -307  3
3999500 2975500  1  3 20   0.8 1019 239  2.6 8  3.7  95    0    0 282 -308  3
3999500 2975500  1  3 21   0.8 1019 239  2.6 8  3.7  94    0    0 287 -309  3
3999500 2975500  1  3 22   0.9 1018 239  2.5 8  3.8  94    0    0 289 -310  3
3999500 2975500  1  3 23   0.9 1018 239  2.2 8  3.8  94    0    0 292 -311  3
3999500 2975500  1  3 24   0.8 1018 239  2.3 8  3.8  94    0    0 293 -313  3
3999500 2975500  1  4  1   0.7 1018 229  2.1 8  3.8  95    0    0 295 -313  3
3999500 2975500  1  4  2   0.7 1018 229  2.5 8  3.8  95    0    0 296 -313  3
3999500 2975500  1  4  3   0.9 1017 229  2.6 8  3.8  95    0    0 297 -312  3
