DT-Index;Datum;Zeit;Quotation [Euro/MWh]
01.10.2021 00:15:00;01.10.2021;00:15:00;75,823
01.10.2021 00:30:00;01.10.2021;00:30:00;63,933
01.10.2021 00:45:00;01.10.2021;00:45:00;56,824
01.10.2021 01:00:00;01.10.2021;01:00:00;45,951
01.10.2021 01:15:00;01.10.2021;01:15:00;63,570
01.10.2021 01:30:00;01.10.2021;01:30:00;57,447
01.10.2021 01:45:00;01.10.2021;01:45:00;53,036
01.10.2021 02:00:00;01.10.2021;02:00:00;46,006
01.10.2021 02:15:00;01.10.2021;02:15:00;54,031
01.10.2021 02:30:00;01.10.2021;02:30:00;50,930
01.10.2021 02:45:00;01.10.2021;02:45:00;52,098
01.10.2021 03:00:00;01.10.2021;03:00:00;52,453
01.10.2021 03:15:00;01.10.2021;03:15:00;48,484
01.10.2021 03:30:00;01.10.2021;03:30:00;47,861
01.10.2021 03:45:00;01.10.2021;03:45:00;50,346
01.10.2021 04:00:00;01.10.2021;04:00:00;53,249
01.10.2021 04:15:00;01.10.2021;04:15:00;39,308
01.10.2021 04:30:00;01.10.2021;04:30:00;47,648
01.10.2021 04:45:00;01.10.2021;04:45:00;53,731
01.10.2021 05:00:00;01.10.2021;05:00:00;60,934
01.10.2021 05:15:00;01.10.2021;05:15:00;43,521
01.10.2021 05:30:00;01.10.2021;05:30:00;50,456
01.10.2021 05:45:00;01.10.2021;05:45:00;57,092
01.10.2021 06:00:00;01.10.2021;06:00:00;69,605
01.10.2021 06:15:00;01.10.2021;06:15:00;44,728
01.10.2021 06:30:00;01.10.2021;06:30:00;68,682
01.10.2021 06:45:00;01.10.2021;06:45:00;83,563
01.10.2021 07:00:00;01.10.2021;07:00:00;96,992
01.10.2021 07:15:00;01.10.2021;07:15:00;69,298
01.10.2021 07:30:00;01.10.2021;07:30:00;83,145
01.10.2021 07:45:00;01.10.2021;07:45:00;91,327
01.10.2021 08:00:00;01.10.2021;08:00:00;94,554
01.10.2021 08:15:00;01.10.2021;08:15:00;90,114
01.10.2021 08:30:00;01.10.2021;08:30:00;83,226
01.10.2021 08:45:00;01.10.2021;08:45:00;81,210
01.10.2021 09:00:00;01.10.2021;09:00:00;70,839
01.10.2021 09:15:00;01.10.2021;09:15:00;89,677
01.10.2021 09:30:00;01.10.2021;09:30:00;78,569
01.10.2021 09:45:00;01.10.2021;09:45:00;72,556
01.10.2021 10:00:00;01.10.2021;10:00:00;63,874
01.10.2021 10:15:00;01.10.2021;10:15:00;85,089
01.10.2021 10:30:00;01.10.2021;10:30:00;74,606
01.10.2021 10:45:00;01.10.2021;10:45:00;66,230
01.10.2021 11:00:00;01.10.2021;11:00:00;58,118
01.10.2021 11:15:00;01.10.2021;11:15:00;77,151
01.10.2021 11:30:00;01.10.2021;11:30:00;72,535
01.10.2021 11:45:00;01.10.2021;11:45:00;66,425
01.10.2021 12:00:00;01.10.2021;12:00:00;59,279
01.10.2021 12:15:00;01.10.2021;12:15:00;73,161
01.10.2021 12:30:00;01.10.2021;12:30:00;64,944
01.10.2021 12:45:00;01.10.2021;12:45:00;60,954
01.10.2021 13:00:00;01.10.2021;13:00:00;55,553
01.10.2021 13:15:00;01.10.2021;13:15:00;67,259
01.10.2021 13:30:00;01.10.2021;13:30:00;62,901
01.10.2021 13:45:00;01.10.2021;13:45:00;57,263
01.10.2021 14:00:00;01.10.2021;14:00:00;50,104
01.10.2021 14:15:00;01.10.2021;14:15:00;51,063
01.10.2021 14:30:00;01.10.2021;14:30:00;57,792
01.10.2021 14:45:00;01.10.2021;14:45:00;61,997
01.10.2021 15:00:00;01.10.2021;15:00:00;66,877
01.10.2021 15:15:00;01.10.2021;15:15:00;50,931
01.10.2021 15:30:00;01.10.2021;15:30:00;58,633
01.10.2021 15:45:00;01.10.2021;15:45:00;65,063
01.10.2021 16:00:00;01.10.2021;16:00:00;71,034
01.10.2021 16:15:00;01.10.2021;16:15:00;49,047
01.10.2021 16:30:00;01.10.2021;16:30:00;57,757
01.10.2021 16:45:00;01.10.2021;16:45:00;69,053
01.10.2021 17:00:00;01.10.2021;17:00:00;84,880
01.10.2021 17:15:00;01.10.2021;17:15:00;55,699
01.10.2021 17:30:00;01.10.2021;17:30:00;71,131
01.10.2021 17:45:00;01.10.2021;17:45:00;80,473
01.10.2021 18:00:00;01.10.2021;18:00:00;93,055
01.10.2021 18:15:00;01.10.2021;18:15:00;69,150
01.10.2021 18:30:00;01.10.2021;18:30:00;73,960
01.10.2021 18:45:00;01.10.2021;18:45:00;77,568
01.10.2021 19:00:00;01.10.2021;19:00:00;87,264
01.10.2021 19:15:00;01.10.2021;19:15:00;84,616
01.10.2021 19:30:00;01.10.2021;19:30:00;78,485
01.10.2021 19:45:00;01.10.2021;19:45:00;75,795
01.10.2021 20:00:00;01.10.2021;20:00:00;71,499
01.10.2021 20:15:00;01.10.2021;20:15:00;107,564
01.10.2021 20:30:00;01.10.2021;20:30:00;86,080
01.10.2021 20:45:00;01.10.2021;20:45:00;76,146
01.10.2021 21:00:00;01.10.2021;21:00:00;61,384
01.10.2021 21:15:00;01.10.2021;21:15:00;94,972
01.10.2021 21:30:00;01.10.2021;21:30:00;80,217
01.10.2021 21:45:00;01.10.2021;21:45:00;69,179
01.10.2021 22:00:00;01.10.2021;22:00:00;56,776
01.10.2021 22:15:00;01.10.2021;22:15:00;91,129
01.10.2021 22:30:00;01.10.2021;22:30:00;74,600
01.10.2021 22:45:00;01.10.2021;22:45:00;65,574
01.10.2021 23:00:00;01.10.2021;23:00:00;53,904
01.10.2021 23:15:00;01.10.2021;23:15:00;82,947
01.10.2021 23:30:00;01.10.2021;23:30:00;70,134
01.10.2021 23:45:00;01.10.2021;23:45:00;60,666
02.10.2021 00:00:00;02.10.2021;00:00:00;46,567
02.10.2021 00:15:00;02.10.2021;00:15:00;80,438
02.10.2021 00:30:00;02.10.2021;00:30:00;67,791
02.10.2021 00:45:00;02.10.2021;00:45:00;56,966
02.10.2021 01:00:00;02.10.2021;01:00:00;50,804
02.10.2021 01:15:00;02.10.2021;01:15:00;67,033
02.10.2021 01:30:00;02.10.2021;01:30:00;58,457
02.10.2021 01:45:00;02.10.2021;01:45:00;55,285
02.10.2021 02:00:00;02.10.2021;02:00:00;53,076
02.10.2021 02:15:00;02.10.2021;02:15:00;59,309
02.10.2021 02:30:00;02.10.2021;02:30:00;55,751
02.10.2021 02:45:00;02.10.2021;02:45:00;53,691
02.10.2021 03:00:00;02.10.2021;03:00:00;53,242
02.10.2021 03:15:00;02.10.2021;03:15:00;54,922
02.10.2021 03:30:00;02.10.2021;03:30:00;52,571
02.10.2021 03:45:00;02.10.2021;03:45:00;52,153
02.10.2021 04:00:00;02.10.2021;04:00:00;50,875
02.10.2021 04:15:00;02.10.2021;04:15:00;51,395
02.10.2021 04:30:00;02.10.2021;04:30:00;51,979
02.10.2021 04:45:00;02.10.2021;04:45:00;51,640
02.10.2021 05:00:00;02.10.2021;05:00:00;51,695
02.10.2021 05:15:00;02.10.2021;05:15:00;53,470
02.10.2021 05:30:00;02.10.2021;05:30:00;48,989
02.10.2021 05:45:00;02.10.2021;05:45:00;50,330
02.10.2021 06:00:00;02.10.2021;06:00:00;54,291
02.10.2021 06:15:00;02.10.2021;06:15:00;45,904
02.10.2021 06:30:00;02.10.2021;06:30:00;51,159
02.10.2021 06:45:00;02.10.2021;06:45:00;57,021
02.10.2021 07:00:00;02.10.2021;07:00:00;59,648
02.10.2021 07:15:00;02.10.2021;07:15:00;48,460
02.10.2021 07:30:00;02.10.2021;07:30:00;54,433
02.10.2021 07:45:00;02.10.2021;07:45:00;63,475
02.10.2021 08:00:00;02.10.2021;08:00:00;67,941
02.10.2021 08:15:00;02.10.2021;08:15:00;61,400
02.10.2021 08:30:00;02.10.2021;08:30:00;62,449
02.10.2021 08:45:00;02.10.2021;08:45:00;63,846
02.10.2021 09:00:00;02.10.2021;09:00:00;59,948
02.10.2021 09:15:00;02.10.2021;09:15:00;73,543
02.10.2021 09:30:00;02.10.2021;09:30:00;65,858
02.10.2021 09:45:00;02.10.2021;09:45:00;63,625
02.10.2021 10:00:00;02.10.2021;10:00:00;54,102
02.10.2021 10:15:00;02.10.2021;10:15:00;74,047
02.10.2021 10:30:00;02.10.2021;10:30:00;63,751
02.10.2021 10:45:00;02.10.2021;10:45:00;55,561
02.10.2021 11:00:00;02.10.2021;11:00:00;47,009
02.10.2021 11:15:00;02.10.2021;11:15:00;65,763
02.10.2021 11:30:00;02.10.2021;11:30:00;61,708
02.10.2021 11:45:00;02.10.2021;11:45:00;58,670
02.10.2021 12:00:00;02.10.2021;12:00:00;49,541
02.10.2021 12:15:00;02.10.2021;12:15:00;68,690
02.10.2021 12:30:00;02.10.2021;12:30:00;59,325
02.10.2021 12:45:00;02.10.2021;12:45:00;52,713
02.10.2021 13:00:00;02.10.2021;13:00:00;43,908
