DT-Index;Datum;Zeit;Quotation [Euro/MWh]
01.10.2021 00:15:00;01.10.2021;00:15:00;45,202
01.10.2021 00:30:00;01.10.2021;00:30:00;40,543
01.10.2021 00:45:00;01.10.2021;00:45:00;34,072
01.10.2021 01:00:00;01.10.2021;01:00:00;27,410
01.10.2021 01:15:00;01.10.2021;01:15:00;43,184
01.10.2021 01:30:00;01.10.2021;01:30:00;38,889
01.10.2021 01:45:00;01.10.2021;01:45:00;34,651
01.10.2021 02:00:00;01.10.2021;02:00:00;30,353
01.10.2021 02:15:00;01.10.2021;02:15:00;35,104
01.10.2021 02:30:00;01.10.2021;02:30:00;32,324
01.10.2021 02:45:00;01.10.2021;02:45:00;34,653
01.10.2021 03:00:00;01.10.2021;03:00:00;35,851
01.10.2021 03:15:00;01.10.2021;03:15:00;29,985
01.10.2021 03:30:00;01.10.2021;03:30:00;31,640
01.10.2021 03:45:00;01.10.2021;03:45:00;33,663
01.10.2021 04:00:00;01.10.2021;04:00:00;36,959
01.10.2021 04:15:00;01.10.2021;04:15:00;24,607
01.10.2021 04:30:00;01.10.2021;04:30:00;31,247
01.10.2021 04:45:00;01.10.2021;04:45:00;38,019
01.10.2021 05:00:00;01.10.2021;05:00:00;42,610
01.10.2021 05:15:00;01.10.2021;05:15:00;25,664
01.10.2021 05:30:00;01.10.2021;05:30:00;31,753
01.10.2021 05:45:00;01.10.2021;05:45:00;41,235
01.10.2021 06:00:00;01.10.2021;06:00:00;48,349
01.10.2021 06:15:00;01.10.2021;06:15:00;27,066
01.10.2021 06:30:00;01.10.2021;06:30:00;43,344
01.10.2021 06:45:00;01.10.2021;06:45:00;55,546
01.10.2021 07:00:00;01.10.2021;07:00:00;67,007
01.10.2021 07:15:00;01.10.2021;07:15:00;45,773
01.10.2021 07:30:00;01.10.2021;07:30:00;56,984
01.10.2021 07:45:00;01.10.2021;07:45:00;62,970
01.10.2021 08:00:00;01.10.2021;08:00:00;65,317
01.10.2021 08:15:00;01.10.2021;08:15:00;60,354
01.10.2021 08:30:00;01.10.2021;08:30:00;59,942
01.10.2021 08:45:00;01.10.2021;08:45:00;57,348
01.10.2021 09:00:00;01.10.2021;09:00:00;52,478
01.10.2021 09:15:00;01.10.2021;09:15:00;60,105
01.10.2021 09:30:00;01.10.2021;09:30:00;55,476
01.10.2021 09:45:00;01.10.2021;09:45:00;53,087
01.10.2021 10:00:00;01.10.2021;10:00:00;48,000
01.10.2021 10:15:00;01.10.2021;10:15:00;57,435
01.10.2021 10:30:00;01.10.2021;10:30:00;52,046
01.10.2021 10:45:00;01.10.2021;10:45:00;49,670
01.10.2021 11:00:00;01.10.2021;11:00:00;46,131
01.10.2021 11:15:00;01.10.2021;11:15:00;52,510
01.10.2021 11:30:00;01.10.2021;11:30:00;51,201
01.10.2021 11:45:00;01.10.2021;11:45:00;48,577
01.10.2021 12:00:00;01.10.2021;12:00:00;43,493
01.10.2021 12:15:00;01.10.2021;12:15:00;50,931
01.10.2021 12:30:00;01.10.2021;12:30:00;47,095
01.10.2021 12:45:00;01.10.2021;12:45:00;45,402
01.10.2021 13:00:00;01.10.2021;13:00:00;44,175
01.10.2021 13:15:00;01.10.2021;13:15:00;49,259
01.10.2021 13:30:00;01.10.2021;13:30:00;47,301
01.10.2021 13:45:00;01.10.2021;13:45:00;44,727
01.10.2021 14:00:00;01.10.2021;14:00:00;41,417
01.10.2021 14:15:00;01.10.2021;14:15:00;39,594
01.10.2021 14:30:00;01.10.2021;14:30:00;43,482
01.10.2021 14:45:00;01.10.2021;14:45:00;46,190
01.10.2021 15:00:00;01.10.2021;15:00:00;49,920
01.10.2021 15:15:00;01.10.2021;15:15:00;39,957
01.10.2021 15:30:00;01.10.2021;15:30:00;43,819
